collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
131072,0.5,0.0,-0.00244140625,0.00017547607421875
262144,0.5,0.0,-0.00023651123046875,0.0023193359375
393216,0.5,0.0,-0.00884246826171875,-0.00223541259765625
524288,0.5,0.0,-0.00420379638671875,-0.00395965576171875
655360,0.5,0.0,-0.0047607421875,7.62939453125e-05
786432,0.5,0.0,-0.00545501708984375,-0.00498199462890625
917504,0.5,0.0,-0.01013946533203125,-0.0027618408203125
1048576,0.5,0.0,-0.01332855224609375,-0.0109405517578125
1179648,0.5,0.0,-0.010955810546875,-0.013153076171875
1310720,0.5,0.0,-0.87298583984375,-0.45250701904296875
1441792,0.5,0.0,0.0,-0.01480865478515625
1572864,0.5,0.0,-0.01335906982421875,-0.01575469970703125
1703936,0.5,0.0,-0.01619720458984375,-0.0189361572265625
1835008,0.5,0.0,-0.02410888671875,-0.013702392578125
1966080,0.5,0.0,-0.018463134765625,-0.0147705078125
2097152,0.5,0.0,-0.02233123779296875,-0.015869140625
2228224,0.5,0.0,-0.01857757568359375,-0.02330780029296875
2359296,0.5,0.0,-0.8202667236328125,-0.25009918212890625
2490368,0.5,0.0,-0.0200653076171875,-0.019256591796875
2621440,0.5,0.0,-0.01700592041015625,-0.02858734130859375
2752512,0.5,0.0,-0.030120849609375,-0.0261077880859375
2883584,0.5,0.0,-0.0283050537109375,-0.02860260009765625
3014656,0.5,0.0,-0.0305633544921875,-0.0312957763671875
3145728,0.5,0.0,-0.0298004150390625,-0.03110504150390625
3276800,0.5,0.0,-0.03157806396484375,-0.032379150390625
3407872,0.5,0.0,-0.338043212890625,-0.36767578125
3538944,0.5,0.0,-0.02742767333984375,-0.01903533935546875
3670016,0.5,0.0,-0.03993988037109375,-0.021240234375
3801088,0.5,0.0,-0.0329437255859375,-0.03673553466796875
3932160,0.5,0.0,-0.0364837646484375,-0.0433349609375
4063232,0.5,0.0,-0.04471588134765625,-0.03713226318359375
4194304,0.5,0.0,-0.044586181640625,-0.02729034423828125
4325376,0.5,0.0,-0.04508209228515625,-0.03787994384765625
4456448,0.5,0.0,-0.6834487915039062,-0.30161285400390625
4587520,0.5,0.0,-0.04042816162109375,-0.0056304931640625
4718592,0.5,0.0,-0.0424957275390625,-0.037628173828125
4849664,0.5,0.0,-0.047454833984375,-0.0329742431640625
4980736,0.5,0.0,-0.0480194091796875,-0.04755401611328125
5111808,0.5,0.0,-0.04424285888671875,-0.04888916015625
5242880,0.5,0.0,-0.05258941650390625,-0.054931640625
5373952,0.5,0.0,-0.0565338134765625,-0.04505157470703125
5505024,0.5,0.0,-0.7036514282226562,-0.22714996337890625
5636096,0.5,0.0,-0.01692962646484375,-0.03741455078125
5767168,0.5,0.0,-0.037384033203125,-0.0464324951171875
5898240,0.5,0.0,-0.05608367919921875,-0.0523529052734375
6029312,0.5,0.0,-0.062164306640625,-0.05649566650390625
6160384,0.5,0.0,-0.0551910400390625,-0.06790924072265625
6291456,0.5,0.0,-0.0569610595703125,-0.05936431884765625
6422528,0.5,0.0,-0.07013702392578125,-0.0666351318359375
6553600,0.5,0.0,-0.35562896728515625,-0.25460052490234375
6684672,0.5,0.0,-0.01397705078125,-0.05206298828125
6815744,0.5,0.0,-0.0622100830078125,-0.05340576171875
6946816,0.5,0.0,-0.06256866455078125,-0.0777740478515625
7077888,0.5,0.0,-0.069183349609375,-0.0567779541015625
7208960,0.5,0.0,-0.0741424560546875,-0.07459259033203125
7340032,0.5,0.0,-0.077423095703125,-0.0659942626953125
7471104,0.5,0.0,-0.07757568359375,-0.07309722900390625
7602176,0.5,0.0,-0.775970458984375,-0.26383209228515625
7733248,0.5,0.0,-0.07253265380859375,0.013092041015625
7864320,0.5,0.0,-0.06964111328125,-0.05754852294921875
7995392,0.5,0.0,-0.07456207275390625,-0.0670928955078125
8126464,0.5,0.0,-0.05902099609375,-0.06723785400390625
8257536,0.5,0.0,-0.0799102783203125,-0.08712005615234375
8388608,0.5,0.0,-0.08475494384765625,-0.0788116455078125
8519680,0.5,0.0,-0.0743865966796875,-0.08050537109375
8650752,0.5,0.0,-0.6715545654296875,-0.2057037353515625
8781824,0.5,0.0,-0.0142364501953125,-0.05970001220703125
8912896,0.5,0.0,-0.060272216796875,-0.08318328857421875
9043968,0.5,0.0,-0.06478118896484375,-0.087615966796875
9175040,0.5,0.0,-0.054107666015625,-0.08393096923828125
9306112,0.5,0.0,-0.06357574462890625,-0.10373687744140625
9437184,0.5,0.0,-0.0671539306640625,-0.0686492919921875
9568256,0.5,0.0,-0.07488250732421875,-0.0889129638671875
9699328,0.5,0.0,-0.12903594970703125,-0.38652801513671875
9830400,0.5,0.0,-0.061859130859375,-0.07065582275390625
9961472,0.5,0.0,-0.05450439453125,-0.07933807373046875
10092544,0.5,0.0,-0.09360504150390625,-0.08701324462890625
10223616,0.5,0.0,-0.084716796875,-0.06984710693359375
10354688,0.5,0.0,-0.08489227294921875,-0.09050750732421875
10485760,0.5,0.0,-0.1075592041015625,-0.08945465087890625
10616832,0.5,0.0,-0.07525634765625,-0.08577728271484375
10747904,0.5,0.0,-0.123260498046875,-0.17403411865234375
10878976,0.5,0.0,-0.0928955078125,-0.00975799560546875
11010048,0.5,0.0,-0.0942840576171875,-0.05931854248046875
11141120,0.5,0.0,-0.09442901611328125,-0.07360076904296875
11272192,0.5,0.0,-0.1081695556640625,-0.08470916748046875
11403264,0.5,0.0,-0.11260223388671875,-0.09230804443359375
11534336,0.5,0.0,-0.051788330078125,-0.05783843994140625
11665408,0.5,0.0,-0.101776123046875,-0.10214996337890625
11796480,0.5,0.0,-0.44704437255859375,-0.35733795166015625
11927552,0.5,0.0,-0.0849761962890625,-0.083038330078125
12058624,0.5,0.0,-0.1047821044921875,-0.07976531982421875
12189696,0.5,0.0,-0.113037109375,-0.0950164794921875
12320768,0.5,0.0,-0.0864105224609375,-0.08518218994140625
12451840,0.5,0.0,-0.07944488525390625,-0.11273193359375
12582912,0.5,0.0,-0.10150909423828125,-0.07479095458984375
12713984,0.5,0.0,-0.09384918212890625,-0.10251617431640625
12845056,0.5,0.0,0.00803375244140625,-0.06876373291015625
12976128,0.5,0.0,-0.09981536865234375,-0.03049468994140625
13107200,0.5,0.0,-0.06056976318359375,-0.06081390380859375
13238272,0.5,0.0,-0.0824127197265625,-0.0894317626953125
13369344,0.5,0.0,-0.11236572265625,-0.08628082275390625
13500416,0.5,0.0,-0.09943389892578125,-0.1034088134765625
13631488,0.5,0.0,-0.09336090087890625,-0.08928680419921875
13762560,0.5,0.0,-0.0897674560546875,-0.1064300537109375
13893632,0.5,0.0,-0.17908477783203125,-0.2295989990234375
14024704,0.5,0.0,-0.1047821044921875,-0.076446533203125
14155776,0.5,0.0,-0.0921173095703125,-0.05435943603515625
14286848,0.5,0.0,-0.1417694091796875,-0.08382415771484375
14417920,0.5,0.0,-0.108795166015625,-0.07273101806640625
14548992,0.5,0.0,-0.08933258056640625,-0.10250091552734375
14680064,0.5,0.0,-0.07977294921875,-0.09496307373046875
14811136,0.5,0.0,-0.06624603271484375,-0.10958099365234375
