collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
131072,7.62939453125e-06,0.0,0.0
262144,0.00016021728515625,7.62939453125e-06,0.0
393216,6.866455078125e-05,0.0,0.0
524288,8.392333984375e-05,0.0,0.0
655360,4.57763671875e-05,0.0,0.0
786432,9.1552734375e-05,0.0,0.0
917504,8.392333984375e-05,0.0,0.0
1048576,6.866455078125e-05,0.0,0.0
1179648,5.340576171875e-05,0.0,0.0
1310720,5.9564429593373496e-05,1.0295086596385541e-05,0.0
1441792,7.62939453125e-06,7.62939453125e-06,0.0
1572864,3.814697265625e-05,3.0517578125e-05,0.0
1703936,0.00012969970703125,0.0,0.0
1835008,8.392333984375e-05,0.0,0.0
1966080,0.00012969970703125,0.0,0.0
2097152,0.0001220703125,0.0,0.0
2228224,0.000152587890625,0.0,0.0
2359296,0.0001625152955572289,0.00023531626506024096,0.0
2490368,0.0001373291015625,0.00031280517578125,0.0
2621440,6.866455078125e-05,2.288818359375e-05,0.0
2752512,3.0517578125e-05,7.62939453125e-06,0.0
2883584,5.340576171875e-05,0.0,0.0
3014656,3.814697265625e-05,0.0,0.0
3145728,3.0517578125e-05,0.0,0.0
3276800,1.52587890625e-05,0.0,0.0
3407872,0.00067138671875,0.0,0.0
3538944,0.0002288818359375,0.0,0.0
3670016,1.52587890625e-05,7.62939453125e-06,0.0
3801088,7.62939453125e-06,0.0,0.0
3932160,3.814697265625e-05,0.0,0.0
4063232,3.0517578125e-05,0.0,0.0
4194304,0.0,0.0,0.0
4325376,3.0517578125e-05,0.0,0.0
4456448,0.00013015930911144578,7.20656061746988e-05,0.0
4587520,0.0001220703125,0.00011444091796875,0.0
4718592,3.0517578125e-05,5.340576171875e-05,0.0
4849664,7.62939453125e-05,0.0,0.0
4980736,0.0,1.52587890625e-05,0.0
5111808,7.62939453125e-06,0.0,0.0
5242880,0.0,0.0,0.0
5373952,7.62939453125e-06,0.0,0.0
5505024,0.0,2.206089984939759e-06,0.0
5636096,0.0,0.0,0.0
5767168,7.62939453125e-06,0.0,0.0
5898240,0.0,0.0,0.0
6029312,0.0,0.0,0.0
6160384,2.288818359375e-05,7.62939453125e-06,0.0
6291456,2.288818359375e-05,0.0,0.0
6422528,0.0,7.62939453125e-06,0.0
6553600,2.0590173192771083e-05,7.35363328313253e-07,0.0
6684672,7.62939453125e-06,0.0,0.0
6815744,0.0,1.52587890625e-05,0.0
6946816,7.62939453125e-06,2.288818359375e-05,0.0
7077888,7.62939453125e-06,0.0,0.0
7208960,7.62939453125e-06,2.288818359375e-05,0.0
7340032,7.62939453125e-06,1.52587890625e-05,0.0
7471104,1.52587890625e-05,0.0,0.0
7602176,5.1475432981927714e-05,0.00020443100527108433,0.0
7733248,8.392333984375e-05,0.00029754638671875,0.0
7864320,4.57763671875e-05,6.103515625e-05,0.0
7995392,1.52587890625e-05,7.62939453125e-06,0.0
8126464,0.0,3.814697265625e-05,0.0
8257536,3.814697265625e-05,0.0,0.0
8388608,5.340576171875e-05,7.62939453125e-06,0.0
8519680,8.392333984375e-05,0.0,0.0
8650752,0.000430187547063253,1.3236539909638554e-05,0.0
8781824,0.00018310546875,1.52587890625e-05,0.0
8912896,3.814697265625e-05,5.340576171875e-05,0.0
9043968,7.62939453125e-05,7.62939453125e-06,0.0
9175040,4.57763671875e-05,3.0517578125e-05,0.0
9306112,6.866455078125e-05,3.0517578125e-05,0.0
9437184,7.62939453125e-05,3.0517578125e-05,0.0
9568256,9.1552734375e-05,3.814697265625e-05,0.0
9699328,0.0001706042921686747,0.00018310546875,0.0
9830400,0.0002288818359375,0.00028228759765625,0.0
9961472,0.00017547607421875,5.340576171875e-05,0.0
10092544,2.288818359375e-05,7.62939453125e-06,0.0
10223616,4.57763671875e-05,3.814697265625e-05,0.0
10354688,9.918212890625e-05,5.340576171875e-05,0.0
10485760,7.62939453125e-05,1.52587890625e-05,0.0
10616832,8.392333984375e-05,7.62939453125e-06,0.0
10747904,0.0007302157850150602,8.015460278614457e-05,0.0
10878976,0.0002899169921875,0.00011444091796875,0.0
11010048,0.00016021728515625,2.288818359375e-05,0.0
11141120,8.392333984375e-05,2.288818359375e-05,0.0
11272192,9.1552734375e-05,2.288818359375e-05,0.0
11403264,0.0001220703125,3.814697265625e-05,0.0
11534336,0.00017547607421875,7.62939453125e-06,0.0
11665408,0.0001068115234375,4.57763671875e-05,0.0
11796480,0.0007478645048945783,6.471197289156627e-05,0.0
11927552,0.00020599365234375,0.0001068115234375,0.0
12058624,0.000152587890625,6.103515625e-05,0.0
12189696,0.0001068115234375,8.392333984375e-05,0.0
12320768,5.340576171875e-05,6.866455078125e-05,0.0
12451840,0.00014495849609375,6.866455078125e-05,0.0
12582912,0.0002288818359375,8.392333984375e-05,0.0
12713984,0.00016021728515625,3.814697265625e-05,0.0
12845056,0.0006787403520331325,7.941923945783132e-05,0.0
12976128,0.00034332275390625,0.00019073486328125,0.0
13107200,0.0001678466796875,0.00019073486328125,0.0
13238272,9.1552734375e-05,7.62939453125e-05,0.0
13369344,9.1552734375e-05,7.62939453125e-05,0.0
13500416,0.00018310546875,0.0001220703125,0.0
13631488,0.0001983642578125,9.1552734375e-05,0.0
13762560,0.00014495849609375,3.0517578125e-05,0.0
13893632,0.00041842173381024096,0.00020737245858433735,0.0
14024704,0.000244140625,0.00029754638671875,0.0
14155776,0.00022125244140625,3.814697265625e-05,0.0
14286848,0.00019073486328125,6.866455078125e-05,0.0
14417920,0.000213623046875,6.866455078125e-05,0.0
14548992,0.000152587890625,6.103515625e-05,0.0
