collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
131072,4.57763671875e-05,0.0,0.0
262144,0.00018310546875,7.62939453125e-06,0.0
393216,0.00011444091796875,0.0,0.0
524288,7.62939453125e-05,7.62939453125e-06,0.0
655360,0.0001220703125,0.0,0.0
786432,6.866455078125e-05,0.0,0.0
917504,0.0001068115234375,7.62939453125e-06,0.0
1048576,8.392333984375e-05,0.0,0.0
1179648,9.1552734375e-05,0.0,0.0
1310720,0.0003853303840361446,0.0,0.0
1441792,0.00017547607421875,0.0,0.0
1572864,8.392333984375e-05,0.0,0.0
1703936,5.340576171875e-05,0.0,0.0
1835008,3.814697265625e-05,7.62939453125e-06,0.0
1966080,4.57763671875e-05,0.0,0.0
2097152,9.1552734375e-05,0.0,0.0
2228224,7.62939453125e-05,0.0,0.0
2359296,0.00012501176581325302,8.162532944277108e-05,0.0
2490368,5.340576171875e-05,8.392333984375e-05,0.0
2621440,6.866455078125e-05,5.340576171875e-05,0.0
2752512,9.1552734375e-05,1.52587890625e-05,0.0
2883584,0.0001220703125,0.0,0.0
3014656,0.0001373291015625,0.0,0.0
3145728,0.00012969970703125,7.62939453125e-06,0.0
3276800,0.00011444091796875,0.0,0.0
3407872,0.0002853209713855422,2.50023531626506e-05,0.0
3538944,0.00014495849609375,1.52587890625e-05,0.0
3670016,0.0001373291015625,2.288818359375e-05,0.0
3801088,0.0001220703125,7.62939453125e-06,0.0
3932160,9.1552734375e-05,7.62939453125e-06,0.0
4063232,9.1552734375e-05,0.0,0.0
4194304,6.866455078125e-05,0.0,0.0
4325376,0.0001220703125,7.62939453125e-06,0.0
4456448,0.00010074477597891567,0.0002066370952560241,0.0
4587520,0.00018310546875,0.00025177001953125,0.0
4718592,9.1552734375e-05,9.1552734375e-05,0.0
4849664,0.0001678466796875,0.0,0.0
4980736,5.340576171875e-05,0.0,0.0
5111808,5.340576171875e-05,0.0,0.0
5242880,6.866455078125e-05,0.0,0.0
5373952,8.392333984375e-05,0.0,0.0
5505024,2.720844314759036e-05,0.00011986422251506024,0.0
5636096,5.340576171875e-05,0.00012969970703125,0.0
5767168,4.57763671875e-05,9.1552734375e-05,0.0
5898240,0.0001068115234375,7.62939453125e-06,0.0
6029312,0.0001220703125,7.62939453125e-06,0.0
6160384,7.62939453125e-05,0.0,0.0
6291456,5.340576171875e-05,7.62939453125e-06,0.0
6422528,6.103515625e-05,0.0,0.0
6553600,3.382671310240964e-05,0.0001661921121987952,0.0
6684672,6.103515625e-05,0.00018310546875,0.0
6815744,0.0001068115234375,7.62939453125e-05,0.0
6946816,3.814697265625e-05,0.0,0.0
7077888,2.288818359375e-05,7.62939453125e-06,0.0
7208960,2.288818359375e-05,2.288818359375e-05,0.0
7340032,4.57763671875e-05,7.62939453125e-06,0.0
7471104,5.340576171875e-05,7.62939453125e-06,0.0
7602176,2.941453313253012e-05,0.00014192512236445783,0.0
7733248,5.340576171875e-05,0.00011444091796875,0.0
7864320,3.0517578125e-05,6.866455078125e-05,0.0
7995392,0.0001220703125,0.0,0.0
8126464,3.814697265625e-05,0.0,0.0
8257536,3.0517578125e-05,7.62939453125e-06,0.0
8388608,4.57763671875e-05,0.0,0.0
8519680,4.57763671875e-05,0.0,0.0
8650752,1.470726656626506e-06,0.0,0.0
8781824,7.62939453125e-06,0.0,0.0
8912896,3.814697265625e-05,7.62939453125e-06,0.0
9043968,0.0001220703125,0.0,0.0
9175040,9.1552734375e-05,1.52587890625e-05,0.0
9306112,9.1552734375e-05,0.0,0.0
9437184,1.52587890625e-05,7.62939453125e-06,0.0
9568256,0.0,0.0,0.0
9699328,2.206089984939759e-05,0.00010662768260542168,0.0
9830400,1.52587890625e-05,0.00014495849609375,0.0
9961472,3.0517578125e-05,3.0517578125e-05,0.0
10092544,7.62939453125e-05,7.62939453125e-06,0.0
10223616,3.0517578125e-05,0.0,0.0
10354688,0.00011444091796875,0.0,0.0
10485760,2.288818359375e-05,0.0,0.0
10616832,6.866455078125e-05,7.62939453125e-06,0.0
10747904,6.912415286144579e-05,0.0,0.0
10878976,1.52587890625e-05,0.0,0.0
11010048,3.0517578125e-05,1.52587890625e-05,0.0
11141120,3.814697265625e-05,3.0517578125e-05,0.0
11272192,5.340576171875e-05,0.0,0.0
11403264,6.866455078125e-05,0.0,0.0
11534336,0.0001678466796875,0.0,0.0
11665408,0.0001678466796875,7.62939453125e-06,0.0
11796480,3.382671310240964e-05,7.35363328313253e-07,0.0
11927552,2.288818359375e-05,7.62939453125e-06,0.0
12058624,1.52587890625e-05,7.62939453125e-06,0.0
12189696,8.392333984375e-05,0.0,0.0
12320768,6.103515625e-05,0.0,0.0
12451840,2.288818359375e-05,0.0,0.0
12582912,6.866455078125e-05,1.52587890625e-05,0.0
12713984,5.340576171875e-05,1.52587890625e-05,0.0
12845056,0.0,0.0,0.0
12976128,1.52587890625e-05,0.0,0.0
13107200,2.288818359375e-05,0.0,0.0
13238272,6.103515625e-05,7.62939453125e-06,0.0
13369344,5.340576171875e-05,7.62939453125e-06,0.0
13500416,3.814697265625e-05,0.0,0.0
13631488,2.288818359375e-05,7.62939453125e-06,0.0
13762560,3.0517578125e-05,0.0,0.0
13893632,0.00019340055534638553,3.676816641566265e-06,0.0
14024704,0.000213623046875,7.62939453125e-06,0.0
14155776,2.288818359375e-05,1.52587890625e-05,0.0
14286848,2.288818359375e-05,0.0,0.0
14417920,3.814697265625e-05,0.0,0.0
14548992,1.52587890625e-05,0.0,0.0
14680064,1.52587890625e-05,0.0,0.0
14811136,0.0,7.62939453125e-06,0.0
14942208,0.00037503529743975904,0.0,0.0
15073280,0.00012969970703125,0.0,0.0
15204352,2.288818359375e-05,0.0,0.0
15335424,6.103515625e-05,0.0,0.0
15466496,0.0001068115234375,0.0,0.0
