collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
131072,-0.0004583798932955574,-5.887407374647463e-05,0.0035400390625,0.003022813361631904
262144,-0.0005322830600107409,-0.00017429723357054172,0.0029449462890625,0.0022385018592103734
393216,-0.0004994366115624871,-0.00013338833554144003,-0.008087158203125,-0.008719907352997325
524288,-0.0005201989924898953,-0.00012760537276790274,0.0009613037109375,0.0003135546271550993
655360,-0.0005051201192145527,-0.0001272202433710845,-0.004913330078125,-0.005545591373902425
786432,-0.0005205543072861474,-0.00011468363072708598,-0.0010986328125,-0.001733827382849995
917504,-0.0005332243099473999,-0.00013612109694349783,0.0002899169921875,-0.00037935268392175203
1048576,-0.0005161727292488649,-0.00010271369166048316,-0.0042724609375,-0.004891294153367198
1179648,-0.0005072260078122781,-0.0001352013307496236,-0.0011749267578125,-0.0018172935688198777
1310720,-0.0006181267640386068,-4.635791573548431e-05,-0.00146484375,-0.0021290620629770274
1441792,-0.0005463925131152791,-7.705863926332768e-05,-0.0009307861328125,-0.001554125977691001
1572864,-0.0004990760087366652,-0.00013786545645189108,-0.002716064453125,-0.0033529526822349
1703936,-0.0005092994449569233,-0.00011019140663393046,-0.0019989013671875,-0.0026183574309470714
1835008,-0.0005109515263939102,-9.099483673935538e-05,-0.0025177001953125,-0.003119618063010421
1966080,-0.0005192237149458379,-0.00010447347608533164,-0.00213623046875,-0.00275989881993155
2097152,-0.0005397886015998665,-0.00011326835397085233,-0.001251220703125,-0.0019042186627302726
2228224,-0.0005515861575986492,-0.0001287822305471309,-0.0028228759765625,-0.0035031920779147185
2359296,-0.0008668179757478356,-2.9338542645973575e-05,-0.00054931640625,-0.0014454057886723604
2490368,-0.0007142593990465684,-3.54631172712061e-05,-0.00152587890625,-0.0022755007871637645
2621440,-0.0005995076639919716,-8.224271437029529e-05,-0.004608154296875,-0.005289817899210902
2752512,-0.000564101928830496,-0.00010295734628584796,-0.001861572265625,-0.0025285617962254037
2883584,-0.0005605545229627751,-0.00011902181915957044,-0.0030059814453125,-0.0036854729100923578
3014656,-0.0005484925522978301,-0.00012684223702308373,-0.0018157958984375,-0.002491037932486506
3145728,-0.0005541788127629843,-0.00011808931037649018,-0.0006866455078125,-0.0013588213846560393
3276800,-0.0005591068402281962,-0.00013015681395245338,-0.00299072265625,-0.0036799067975152866
3407872,-0.0007505183893954381,-3.956414799688446e-05,-0.001556396484375,-0.002346239583403076
3538944,-0.0006596817515855946,-3.7255245338485565e-05,-0.0005950927734375,-0.0012919161326863104
3670016,-0.0005735596873819304,-9.648525065131253e-05,-0.0038299560546875,-0.004499892454532528
3801088,-0.0005650929251714842,-0.00012342227091721725,-0.001678466796875,-0.0023668934791203355
3932160,-0.0005588831268141803,-0.00011743617267256923,-0.0023345947265625,-0.0030108458063295984
4063232,-0.0005459945705297287,-0.0001011534625376953,-0.0022125244140625,-0.0028596136139640294
4194304,-0.0005416543285718944,-0.00013484732642154995,-0.000946044921875,-0.0016224998985308048
