collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,786.6442828178406,1000.0,1.6282334055867977,790.9318680763245,1000.0,1.5767749543301761,799.4506916999817,1000.0,1.685861997306347,803.4508666992188,1000.0,1.6166880342643708
262144,751.0487966537476,1000.0,1.241543116979301,752.7614068984985,1000.0,1.2349682319909334,766.1786613464355,1000.0,1.3435324034653604,767.6539220809937,1000.0,1.2440945585258305
393216,767.0169191360474,1000.0,1.4251929549500346,769.935140132904,1000.0,1.425652822945267,782.1163277626038,1000.0,1.4448062414303422,784.9823927879333,1000.0,1.4790289653465152
524288,762.7544646263123,1000.0,1.1223077678587288,764.3832087516785,1000.0,1.197294236626476,774.2939519882202,1000.0,1.217275029513985,776.4819130897522,1000.0,1.478626288473606
655360,760.7582216262817,1000.0,1.5111949583515525,762.4316034317017,1000.0,1.2253071758896112,774.2572393417358,1000.0,1.4412251085741445,775.8985962867737,1000.0,1.3023177240975201
786432,760.9432864189148,1000.0,1.3565347231924534,762.581627368927,1000.0,1.1390194213017821,775.6043000221252,1000.0,1.5565302041359246,778.8971529006958,1000.0,1.3863174985162914
917504,757.6247973442078,1000.0,1.4257601876743138,760.099799156189,1000.0,1.3284271110314876,770.8794546127319,1000.0,1.2457801990676671,773.1356835365295,1000.0,1.221533513162285
1048576,761.9955096244812,1000.0,1.2666003357153386,764.1451168060303,1000.0,1.0744542027823627,777.1661157608032,1000.0,1.2968044835142791,779.3346657752991,1000.0,1.381329242605716
1179648,592.4426782480875,1000.0,0.8373560073102514,591.0495684305827,1000.0,0.8099737179403503,314.04483754475916,1000.0,3.056557084793846,313.94060194651286,1000.0,3.1683993656747043
1310720,595.007080078125,1000.0,0.7368948264047503,594.8139872550964,1000.0,0.6792187361279503,321.49311447143555,1000.0,0.42332422477193177,322.9140682220459,1000.0,0.37004783283919096
1441792,741.9677309989929,1000.0,1.0441559506580234,744.7610869407654,1000.0,1.2676473716273904,755.0085377693176,1000.0,1.3196039968170226,757.1856236457825,1000.0,1.4611129853874445
1572864,758.7976236343384,1000.0,1.4433094933629036,761.3556671142578,1000.0,1.531059969915077,774.9849367141724,1000.0,1.492654847446829,777.8572812080383,1000.0,1.4697796795517206
1703936,763.2433958053589,1000.0,1.2497646762058139,765.2029576301575,1000.0,1.453021401539445,777.7688512802124,1000.0,1.498154311440885,780.1372842788696,1000.0,1.5469255647622049
1835008,759.7254800796509,1000.0,1.159782886505127,762.2172107696533,1000.0,1.3211988601833582,767.869683265686,1000.0,1.345520788920112,770.5559105873108,1000.0,1.2554407306015491
1966080,760.586503982544,1000.0,1.1891010998515412,763.0445280075073,1000.0,1.3089043600484729,775.6150059700012,1000.0,1.2405088664963841,777.8844809532166,1000.0,1.2962180553004146
2097152,757.6757493019104,1000.0,1.4218709135893732,760.8395290374756,1000.0,1.1916913618333638,774.6562714576721,1000.0,1.2680601205211133,776.9808759689331,1000.0,1.2372791869565845
2228224,317.1867752838135,1000.0,1.7273229496382798,317.09999106089276,1000.0,2.0640416640788315,450.7092657725017,1000.0,0.7407051860284992,450.04636591593425,1000.0,0.6837396056453386
2359296,325.8467643260956,1000.0,0.42588314128806815,326.4363577365875,1000.0,0.4650529185310006,465.77583050727844,1000.0,0.6212338206823915,464.62179374694824,1000.0,0.48614157940028235
2490368,723.1247797012329,1000.0,1.1429745284694945,725.9181594848633,1000.0,1.1953473531175405,739.0031957626343,1000.0,1.1501897647976875,741.7960176467896,1000.0,1.559411442372948
2621440,749.8366627693176,1000.0,1.227169491467066,753.0067343711853,1000.0,1.1854097822215408,768.4495139122009,1000.0,1.3822036869823933,771.1828360557556,1000.0,1.3623327133245766
