collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,787.2224216461182,1000.0,1.4988400803413242,791.6418361663818,1000.0,1.621820388128981,801.2477416992188,1000.0,1.5453388057649136,805.2597179412842,1000.0,1.511727184522897
262144,749.0891451835632,1000.0,1.3914097475353628,750.9221229553223,1000.0,1.1140734241344035,766.6712875366211,1000.0,1.2311518560163677,769.1127409934998,1000.0,1.2207474315073341
393216,768.7245602607727,1000.0,1.4191463715396821,771.4513578414917,1000.0,1.469468813156709,782.5502319335938,1000.0,1.5205148593522608,785.5896091461182,1000.0,1.7738869194872677
524288,759.7871627807617,1000.0,1.2548813056200743,762.6875901222229,1000.0,1.4675600482150912,773.0611720085144,1000.0,1.1519983420148492,776.7243537902832,1000.0,1.5162494089454412
655360,756.7910137176514,1000.0,1.1232020193710923,760.1054368019104,1000.0,1.290897179627791,774.1023573875427,1000.0,1.2688842891948298,776.2712454795837,1000.0,1.3971325485035777
786432,758.3376183509827,1000.0,1.417327736504376,761.2753081321716,1000.0,1.4631208595819771,776.2317833900452,1000.0,1.383683635853231,779.096830368042,1000.0,1.3293687412515283
917504,752.5482635498047,1000.0,1.1732761973980814,756.1592798233032,1000.0,1.2919447119347751,769.1490273475647,1000.0,1.359342434676364,771.8603701591492,1000.0,1.3801774885505438
1048576,759.92724609375,1000.0,1.2597953798249364,763.1929569244385,1000.0,1.2817322346381843,774.6055011749268,1000.0,1.536133493296802,776.4001026153564,1000.0,1.3790935306460597
1179648,440.86525190989175,1000.0,0.6878147395894242,441.7519460423788,1000.0,0.5917016379286846,316.4031935501099,999.9800602722169,1.4975882939621807,317.94888797760007,1000.0,1.1886275824407737
1310720,447.0597331523895,1000.0,0.5412944126874208,448.4176378250122,1000.0,0.5703479493968189,337.5289454460144,1000.0,0.40344216860830784,339.48515141010284,1000.0,0.578356631565839
1441792,763.2911014556885,1000.0,1.316140104783699,765.6272664070129,1000.0,1.3762120492756367,728.4909381866455,1000.0,1.0186109570786357,731.4824061393738,1000.0,1.117689450737089
1572864,763.7301840782166,1000.0,1.1336526062805206,766.4176425933838,1000.0,1.3980674990452826,770.1335315704346,1000.0,1.4267883095890284,772.5057988166809,1000.0,1.542409396264702
1703936,750.8013052940369,1000.0,1.4060524934902787,754.0460691452026,1000.0,1.4029175692703575,781.1083045005798,1000.0,1.3995448836358264,783.9731392860413,1000.0,1.3298806087113917
1835008,763.4012327194214,1000.0,1.2455635659571271,765.1961679458618,1000.0,1.3364590154960752,769.490315914154,1000.0,1.1865867609158158,772.3170900344849,1000.0,1.5544739291071892
1966080,767.2967562675476,1000.0,1.3749744943343103,770.1085963249207,1000.0,1.4774426743388176,778.4719605445862,1000.0,1.3716349303722382,781.3814420700073,1000.0,1.5645808787085116
2097152,753.0705757141113,1000.0,1.3459526840597391,756.417308807373,1000.0,1.1250184308737516,769.5847110748291,1000.0,1.2812416525557637,771.9849367141724,1000.0,1.3981039207428694
2228224,609.3788027445476,1000.0,0.976095677105089,611.3717312113445,1000.0,0.988675176940548,531.894740931193,1000.0,0.7845461409414808,533.0016473897298,1000.0,0.8816604538510243
2359296,617.0040259361267,1000.0,0.8050112172495574,617.6556854248047,1000.0,0.725295846350491,552.812075138092,1000.0,0.7251832797192037,554.3187386989594,1000.0,0.6806339061586186
2490368,730.1917552947998,1000.0,1.0866673667915165,734.0859484672546,1000.0,1.1843654960393906,752.9457187652588,1000.0,1.4680355861783028,756.6357440948486,1000.0,1.3906183918006718
2621440,754.4456014633179,1000.0,1.371613321825862,757.6120848655701,1000.0,1.2876289102714509,779.6233801841736,1000.0,1.2637293664738536,782.3649225234985,1000.0,1.2314020979683846
2752512,752.7457618713379,1000.0,1.295854163588956,755.2428674697876,1000.0,1.0963855893351138,775.6622505187988,1000.0,1.4149240381084383,777.3371424674988,1000.0,1.4512716615572572
2883584,747.0780644416809,1000.0,1.2225252909120172,748.9115996360779,1000.0,1.1845071073621511,784.048008441925,1000.0,1.3818319495767355,786.0991249084473,1000.0,1.476609358098358
3014656,745.6177401542664,1000.0,1.3377269081538543,748.6263241767883,1000.0,1.0395900302100927,783.2466354370117,1000.0,1.3501315456815064,784.8551692962646,1000.0,1.4241468622349203
3145728,740.0206346511841,1000.0,1.2776593379676342,742.4976301193237,1000.0,1.274413931183517,785.0449566841125,1000.0,1.1833676067180932,787.2736339569092,1000.0,1.6114901592954993
3276800,342.5482810719808,1000.0,0.6416593754850328,342.7816532643636,1000.0,0.6502492496867974,381.44949845631913,1000.0,1.231777245507886,382.3614091237386,1000.0,1.2295934700965883
3407872,349.3723373413086,1000.0,0.4282513428479433,349.56823468208313,1000.0,0.5008271769620478,395.3800399303436,1000.0,0.4473765299189836,396.9911479949951,1000.0,0.3975914444308728
3538944,745.0344495773315,1000.0,1.3127162419259548,747.0794024467468,1000.0,1.184121310710907,770.7688970565796,1000.0,1.128468150505796,773.0753493309021,1000.0,1.1446361354319379
3670016,749.6430473327637,1000.0,1.0548146835062653,751.5174384117126,1000.0,1.3125318074598908,779.1063103675842,1000.0,1.3371304765460081,780.7541947364807,1000.0,1.5227692150510848
3801088,761.9387874603271,1000.0,1.4811082108644769,764.4434795379639,1000.0,1.4177408441901207,780.3920226097107,1000.0,1.385606124997139,781.5376763343811,1000.0,1.2044991259463131
3932160,770.4645504951477,1000.0,1.1542939395876601,771.711944103241,1000.0,1.3609943874180317,771.2278656959534,1000.0,1.4813685766421258,773.5995783805847,1000.0,1.315571071114391
4063232,758.2135891914368,1000.0,1.4870931068435311,761.1390295028687,1000.0,1.3846245220047422,768.9281873703003,1000.0,1.4114768696017563,770.9055604934692,1000.0,1.514902934199199
