collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
131072,,,,,0.4245029091835022,0.17089031636714935,-0.29794788360595703,-0.27280673384666443
262144,-0.05727808177471161,0.9920833333333333,262144,0.0009983333333333333,,,,
262144,,,,,0.23121114075183868,0.034951336681842804,-0.2353910356760025,-0.23994304239749908
393216,-0.009921546094119549,0.988125,393216,0.0009975,,,,
393216,,,,,0.19968381524085999,0.04857102036476135,-0.18943654000759125,-0.2157312035560608
524288,0.0060975197702646255,0.9841666666666666,524288,0.0009966666666666665,,,,
524288,,,,,0.15920868515968323,0.022282065823674202,-0.19296593964099884,-0.2017352283000946
655360,-0.0063706133514642715,0.9802083333333333,655360,0.0009958333333333332,,,,
655360,,,,,0.158036008477211,0.03495591878890991,-0.21562840044498444,-0.2385035902261734
786432,0.009691378101706505,0.97625,786432,0.0009949999999999998,,,,
786432,,,,,0.14943167567253113,0.025846876204013824,-0.20156195759773254,-0.2376091182231903
917504,0.0021323838736861944,0.9722916666666667,917504,0.0009941666666666664,,,,
917504,,,,,0.1308460682630539,0.022048790007829666,-0.19110526144504547,-0.19880738854408264
1048576,-0.012759745121002197,0.9683333333333334,1048576,0.000993333333333333,,,,
1048576,,,,,0.13372072577476501,0.01692311465740204,-0.18258193135261536,-0.18104524910449982
1179648,0.007215092424303293,0.964375,1179648,0.0009924999999999997,,,,
1179648,,,,,0.11697126924991608,0.020142031833529472,-0.1733851581811905,-0.17664098739624023
1310720,0.03795309364795685,0.9604166666666667,1310720,0.0009916666666666663,,,,
1310720,,,,,0.11607475578784943,0.023979879915714264,-0.14207087457180023,-0.14371593296527863
1441792,-0.02677249163389206,0.9564583333333333,1441792,0.000990833333333333,,,,
1441792,,,,,0.10509312152862549,0.0442735031247139,-0.18493570387363434,-0.16722628474235535
1572864,-0.05827178433537483,0.9525,1572864,0.0009899999999999996,,,,
1572864,,,,,0.1142231822013855,0.05494339391589165,-0.21047192811965942,-0.21831533312797546
1703936,-0.04484028369188309,0.9485416666666666,1703936,0.0009891666666666662,,,,
1703936,,,,,0.10902419686317444,0.09480736404657364,-0.18156860768795013,-0.15467609465122223
1835008,-0.018495220690965652,0.9445833333333333,1835008,0.0009883333333333328,,,,
1835008,,,,,0.0897892490029335,0.07424193620681763,-0.08736269921064377,-0.08582677692174911
1966080,-0.002153091598302126,0.940625,1966080,0.0009874999999999994,,,,
1966080,,,,,0.12044744193553925,0.08756689727306366,-0.2778647840023041,-0.24991002678871155
2097152,0.009281705133616924,0.9366666666666666,2000000,0.000986666666666666,,,,
2097152,,,,,0.08396682143211365,0.07645978778600693,-0.13728515803813934,-0.10806077718734741
2228224,0.005277293734252453,0.9327083333333334,2000000,0.0009858333333333327,,,,
2228224,,,,,0.0739307850599289,0.010166993364691734,-0.07696149498224258,-0.09415324032306671
2359296,0.033208657056093216,0.92875,2000000,0.0009849999999999993,,,,
2359296,,,,,0.08301512897014618,0.01244679931551218,-0.0680447593331337,-0.08127021044492722
2490368,-0.031392961740493774,0.9247916666666667,2000000,0.000984166666666666,,,,
2490368,,,,,0.0802307054400444,0.0062898676842451096,-0.06794413924217224,-0.07843434810638428
2621440,-0.041386157274246216,0.9208333333333334,2000000,0.0009833333333333326,,,,
2621440,,,,,0.08963077515363693,0.007078021299093962,-0.07331780344247818,-0.09756659716367722
2752512,-0.028147215023636818,0.916875,2000000,0.0009824999999999992,,,,
2752512,,,,,0.06756730377674103,0.008753638714551926,-0.060750577598810196,-0.06139763444662094
2883584,-0.017907820641994476,0.9129166666666667,2000000,0.0009816666666666658,,,,
2883584,,,,,0.07514271140098572,0.004991382826119661,-0.07715531438589096,-0.09816213697195053
3014656,0.004198329523205757,0.9089583333333333,2000000,0.0009808333333333325,,,,
3014656,,,,,0.09239663183689117,0.00829083751887083,-0.061481375247240067,-0.08954321593046188
3145728,0.009432794526219368,0.905,2000000,0.000979999999999999,,,,
3145728,,,,,0.07316048443317413,0.005638074595481157,-0.062329988926649094,-0.07748370617628098
3276800,0.0003740373067557812,0.9010416666666666,2000000,0.0009791666666666657,,,,
3276800,,,,,0.05336014926433563,0.010411808267235756,-0.07379478961229324,-0.08457028120756149
3407872,0.021914009004831314,0.8970833333333333,2000000,0.0009783333333333324,,,,
3407872,,,,,0.06943187862634659,0.007807685527950525,-0.06927936524152756,-0.06410519033670425
3538944,-0.03947102278470993,0.893125,2000000,0.000977499999999999,,,,
3538944,,,,,0.09101131558418274,0.010160030797123909,-0.06522238254547119,-0.09993626177310944
