outer_iteration,train/mean_reward,train/mean_safety,train/mean_mechanical_ok,train/eta,train/gamma_safety,train/gamma_mechanical,train/ess,train/solver_success,train/omega_mean_0,train/omega_mean_1,train/omega_mean_2,train/omega_mean_3,train/omega_mean_4,train/omega_mean_5,train/omega_std_0,train/omega_std_1,train/omega_std_2,train/omega_std_3,train/omega_std_4,train/omega_std_5
0,3.0852858163416386,1.0,1.0,0.24397841251874058,0.0,0.0,31.785304631532465,1.0,0.047628980737073216,-0.012805368521787895,0.04064937870833884,0.15398231626456682,0.0013879640660751959,-0.025524992710975518,0.26361205577173585,0.2676900485676112,0.19697987973500566,0.24977429158409103,0.36653123075840055,0.2938619427306209
1,3.18503138422966,1.0,1.0,0.1533050846919346,0.0,0.0,34.1021102060396,1.0,0.17590952456897993,-0.027349661064651254,0.09620365443115586,0.1535565776738546,-0.13116850733490307,-0.11001590163389005,0.21180778139883216,0.2600262978778276,0.21221176552685506,0.21094807613848848,0.3894213820330689,0.3427818624334968
2,3.2649942487478256,1.0,1.0,0.10210343048422785,0.0,0.0,30.70801694460186,1.0,0.23589335587929597,-0.0632472496271774,0.09707672495969458,0.1286814012469344,-0.07987992426862657,-0.10078557469017334,0.17698757585837288,0.2796644145315429,0.19663977602586216,0.1935185879759044,0.3976549519742398,0.31171974592719626
3,3.2028672732412815,1.0,1.0,0.1670812326921513,0.0,0.0,31.992727040878293,1.0,0.23161842706434171,-0.1181673308676143,0.1350679368304159,0.10940506989900084,-0.05316531807790825,-0.13057223447167632,0.14913444117734262,0.28064516869072825,0.21689145318990624,0.2114135967659895,0.47963020474486673,0.34903405221129913
4,3.4753663688898087,1.0,1.0,1.6493081683977209,0.0,0.0,14.230503821705845,1.0,0.324432650444357,-0.15801254252294059,0.19179095433850454,-0.011187427044858898,-0.2581392891736194,-0.18428238906208935,0.16643244543383476,0.2788319770756934,0.21969668833937886,0.3385757084962715,0.359593369136553,0.30009896143671977
5,3.549001306295395,1.0,0.984375,1.9573656376684463,0.0,0.0,19.38337144352845,1.0,0.3683883822891444,-0.172391058987695,0.2475005056576847,-0.15609431906885163,-0.3279938052515538,-0.15388401940512567,0.11380706136036536,0.22731822726427,0.18493048117774505,0.3146280334653488,0.3419471403967463,0.26194436447835634
6,3.9009219482541084,1.0,0.9479166669771075,2.2320228701164684,0.0,0.0,23.981280651559963,1.0,0.40527109292308605,-0.15744691285565915,0.26857220889820915,-0.24831945524916255,-0.35414739111726556,-0.12340131066467636,0.11862964804891046,0.27765323468719405,0.16134145313766857,0.27618208324488297,0.4089020666479199,0.2227075442670163
7,4.348075810819864,1.0,0.953125,2.286748828151197,0.0,0.0,26.766233847878475,1.0,0.4143539347021703,-0.26145033242007004,0.35322863362544804,-0.33841795970669,-0.23124168995654082,-0.12545946132341163,0.10937728196195826,0.35476427102346064,0.2099134299019683,0.2537466129420729,0.35442595012298084,0.27080792422471184
8,4.6345020160079,1.0,0.953125,2.2699240435445858,0.0,0.0,28.233747030316568,1.0,0.4023237387010313,-0.2628762477990741,0.3561824254582796,-0.3802345397023212,-0.1319236321456196,-0.058610519674552754,0.07031029973520388,0.27606031783906065,0.16085311685614104,0.17194968772034,0.30423133049019846,0.24613454600197732
9,6.065409008413553,1.0,0.984375,1.491776707871055,0.0,0.0,35.0293715958248,1.0,0.39512903177041425,-0.32258873122972054,0.3965015706966176,-0.40940072755118695,-0.07444262840603998,-0.06580155742710854,0.05410867122065603,0.15222821308282353,0.09642652152994967,0.08056186227960724,0.25950897698927633,0.1943375711125564
10,7.476032309234142,1.0,1.0,0.05827579780867458,0.0,0.0,31.31719125168988,1.0,0.39839351946505197,-0.3692753480001975,0.42197390837442056,-0.39977068604457744,-0.058634173742667876,-0.12180199254875491,0.03752807198511521,0.16443367158514702,0.09714728213550854,0.06069783736334456,0.20493988989988676,0.1626297364256228
11,7.755515605211258,1.0,1.0,0.22048210069930502,0.0,0.0,24.19591843357161,1.0,0.4023309396723797,-0.3641955283259435,0.42086780847894056,-0.38605910962256484,-0.09611776757841776,-0.14819090536097465,0.036715355558947005,0.14866075161099496,0.08351759653465077,0.05877250411363464,0.1589737389255211,0.1604768169128663
12,7.340054653584957,1.0,1.0,0.15325854431771865,0.0,0.0,38.48748285050924,1.0,0.40027834413429847,-0.33715764144384214,0.4056766645004903,-0.3870253552307091,-0.15076967847164618,-0.1382784404622021,0.040141185619060674,0.11348165339505385,0.0674940004363157,0.03444178951319892,0.13343446312541477,0.14613353031132398
13,7.573560319840908,1.0,1.0,0.02394845006880686,0.0,0.0,35.48047209206332,1.0,0.4042666474543355,-0.34613256243387636,0.4127338858905716,-0.38958412354025906,-0.15451843800698312,-0.1519825337314781,0.030310252492564575,0.09926322361166047,0.05969944281815061,0.031201200714764205,0.13943328295115176,0.09618178030857417
14,7.9824401289224625,1.0,1.0,0.017275555154256602,0.0,0.0,24.363573164627336,1.0,0.40820200361035375,-0.3402330313018844,0.4137122898528635,-0.3906099647050769,-0.1668495927694409,-0.15176711106581242,0.024566793436164847,0.08868604088056271,0.047989719790982883,0.03177705477000622,0.1361894002394185,0.08660162070773618
15,7.921117328107357,1.0,1.0,0.01461221150475897,0.0,0.0,30.769137745489175,1.0,0.40215655981543247,-0.3718132132438243,0.4228992968850658,-0.390564941723134,-0.11602422349940486,-0.15839215741910664,0.024441437241978874,0.09437525459830647,0.05252265688223694,0.029121943659259093,0.16641024856782868,0.08028008525860689
16,7.792974825948477,1.0,1.0,0.013321994311832706,0.0,0.0,30.680917477417616,1.0,0.4027607937057746,-0.3580612567684534,0.41610985950919643,-0.3882641780077216,-0.1432282431838735,-0.15544579140991502,0.022300773565313233,0.11160597838030209,0.05672090819618424,0.02832221820900982,0.1559307378413325,0.08622731218250733
17,7.733118087053299,1.0,1.0,0.03129563378890259,0.0,0.0,30.55556667574578,1.0,0.403520465023934,-0.3612078794289889,0.4108834397884305,-0.3946621684840713,-0.12996347368945005,-0.14652924299987918,0.02459110941195017,0.09742337637110388,0.050983874718310146,0.024535252016729923,0.18489122570609712,0.0727666791379429
18,7.957747638225555,1.0,1.0,0.017013112966629985,0.0,0.0,32.06796536942214,1.0,0.40994442496800587,-0.34485738426632434,0.4026705873257473,-0.3875714288646096,-0.21049239884607515,-0.15202810532960495,0.01898079287128087,0.07190399947101762,0.03432653219754466,0.021201807865149642,0.15953474812572416,0.05297215023448601
19,7.733240444213152,1.0,1.0,0.01292356733704722,0.0,0.0,32.565928763846514,1.0,0.4183047397020657,-0.34023720264535884,0.401366415040799,-0.3791968086706493,-0.26978452163497274,-0.1679744979726503,0.01917092732290353,0.060141949924365945,0.029735745351741085,0.021091755821939496,0.19361382569281319,0.050065204991592074
20,8.00868210196495,1.0,1.0,0.01,0.0,0.0,33.73971277188375,1.0,0.4174807623187394,-0.33945321617032337,0.4040862167502226,-0.3807672278972426,-0.2727068066606444,-0.1687268736289416,0.018685453062970175,0.061269635660399085,0.03148907660894904,0.020638566826475222,0.20975334684207775,0.0568681896243305
21,8.047846004366875,1.0,1.0,0.015466739195417707,0.0,0.0,26.99737174541167,1.0,0.42228379341884253,-0.33183231819153597,0.39798244271428296,-0.37961967955764747,-0.2990808008307812,-0.1654737529085315,0.020385849420881803,0.05312945409603541,0.03187785684427084,0.01769337256023106,0.21303648790034355,0.0552264983413736
22,8.127543367445469,1.0,1.0,0.01,0.0,0.0,30.771219582994338,1.0,0.4205792660398792,-0.3326348753185067,0.39922632101429756,-0.3782123460222844,-0.29357590657907573,-0.16572109026742587,0.024590754311074964,0.05649279837659138,0.027403062418851477,0.020946254999900004,0.26664462083692964,0.06460660973385733
23,7.965906582772732,1.0,1.0,0.03749214269278196,0.0,0.0,27.19929648922483,1.0,0.42443246503726234,-0.33941605512568235,0.3973793740117479,-0.3729798876033388,-0.3605657245167268,-0.18471791907154125,0.022274309852444524,0.051470595064330354,0.02349317839375254,0.02055766748651241,0.2687526088845285,0.06224959270803792
24,7.80645065009594,1.0,1.0,0.018049115952822735,0.0,0.0,31.098738384653345,1.0,0.4272799318226257,-0.33256714160174317,0.3949635109668266,-0.37154315858344694,-0.3634826341358158,-0.18285270992969047,0.016803173505065206,0.04291969867195742,0.025280213702338943,0.01820081762831378,0.1959648286122507,0.04783068427077086
25,8.04480504617095,1.0,1.0,0.017885314545666182,0.0,0.0,20.060755392324882,1.0,0.42868549195887595,-0.3415013690121841,0.39504762156049733,-0.3760624633797819,-0.43532679919450895,-0.2071039829618706,0.014510384082950975,0.050605563735616414,0.021513413740025144,0.02034155382236816,0.17070647954827184,0.05226768793616381
26,8.315139889717102,1.0,1.0,0.010228429157847233,0.0,0.0,26.480660431621786,1.0,0.4286587556482596,-0.35558308158050006,0.3908077220290319,-0.38164050325961457,-0.4562127102315209,-0.22111805530339915,0.013302877025233218,0.046976762626819484,0.01977143412772796,0.019023438975664043,0.16038742687614624,0.050521885849886344
27,8.291679605841637,1.0,1.0,0.01,0.0,0.0,35.212210946497194,1.0,0.4269312980728451,-0.3759585401431318,0.3958807059210561,-0.3870720663627384,-0.4695237277741077,-0.23941114806004304,0.01114750221249452,0.04951382622502913,0.016915683820395423,0.019403847698306966,0.15216613154742187,0.04976992020783233
28,8.368340015411377,1.0,1.0,0.01787156455609702,0.0,0.0,18.029022417637464,1.0,0.4248110917917712,-0.37470945849334825,0.39471446514860226,-0.3903725757802736,-0.4570496448555449,-0.23476058942002737,0.00877817801939017,0.04203053410905076,0.013108283203143728,0.017244306873813186,0.12114023142521974,0.04697798846511925
29,8.311956413090229,1.0,1.0,0.018195541741797158,0.0,0.0,23.9738166539134,1.0,0.42639404176122275,-0.39523871620230894,0.398371506574972,-0.3950747405209149,-0.5139578722681202,-0.2640649269787664,0.010096977150694322,0.03658648434363161,0.013828689822921776,0.01650367618086469,0.12067319644654878,0.03834784514329179
