collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
131072,1.52587890625e-05,0.0,0.0
262144,2.288818359375e-05,0.0,0.0
393216,1.52587890625e-05,0.0,0.0
524288,3.814697265625e-05,0.0,0.0
655360,3.814697265625e-05,0.0,0.0
786432,3.814697265625e-05,0.0,0.0
917504,3.0517578125e-05,0.0,0.0
1048576,2.288818359375e-05,0.0,0.0
1179648,1.52587890625e-05,0.0,0.0
1310720,0.0,0.0,0.0
1441792,0.0,0.0,0.0
1572864,2.288818359375e-05,0.0,0.0
1703936,1.52587890625e-05,0.0,0.0
1835008,3.0517578125e-05,0.0,0.0
1966080,4.57763671875e-05,0.0,0.0
2097152,3.814697265625e-05,0.0,0.0
2228224,1.52587890625e-05,0.0,0.0
2359296,0.0,0.0,0.0
2490368,4.57763671875e-05,0.0,0.0
2621440,4.57763671875e-05,0.0,0.0
2752512,3.814697265625e-05,0.0,0.0
2883584,7.62939453125e-06,0.0,0.0
3014656,1.52587890625e-05,0.0,0.0
3145728,4.57763671875e-05,0.0,0.0
3276800,3.0517578125e-05,0.0,0.0
3407872,0.0,0.0,0.0
3538944,0.0,0.0,0.0
3670016,2.288818359375e-05,0.0,0.0
3801088,1.52587890625e-05,0.0,0.0
3932160,3.0517578125e-05,0.0,0.0
4063232,4.57763671875e-05,0.0,0.0
4194304,6.103515625e-05,0.0,0.0
4325376,1.52587890625e-05,0.0,0.0
4456448,0.0,0.0,0.0
4587520,2.288818359375e-05,0.0,0.0
4718592,3.814697265625e-05,0.0,0.0
4849664,2.288818359375e-05,0.0,0.0
4980736,6.103515625e-05,0.0,0.0
5111808,2.288818359375e-05,0.0,0.0
5242880,4.57763671875e-05,0.0,0.0
5373952,2.288818359375e-05,0.0,0.0
5505024,0.0,0.0,0.0
5636096,7.62939453125e-06,0.0,0.0
5767168,2.288818359375e-05,0.0,0.0
5898240,2.288818359375e-05,0.0,0.0
6029312,6.103515625e-05,0.0,0.0
6160384,3.0517578125e-05,0.0,0.0
6291456,0.0,0.0,0.0
6422528,0.0,0.0,0.0
6553600,1.470726656626506e-06,0.0,0.0
6684672,0.0001373291015625,0.0,0.0
6815744,2.288818359375e-05,0.0,0.0
6946816,7.62939453125e-06,0.0,0.0
7077888,4.57763671875e-05,0.0,0.0
7208960,3.0517578125e-05,0.0,0.0
7340032,7.62939453125e-06,0.0,0.0
7471104,3.814697265625e-05,0.0,0.0
7602176,0.0,0.0,0.0
7733248,7.62939453125e-06,0.0,0.0
