collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
131072,-0.001034208832152217,-3.3924717126786186e-05,-0.0041355791327077895,0.0043792724609375,-0.0008243578504334437
262144,-0.000987513827112707,-5.813094256268414e-05,-0.004489010887482436,0.00299072265625,-0.0025438051184210053
393216,-0.0010115825048160332,-5.5626024078492264e-05,-0.00430642729770625,-0.0082855224609375,-0.013659086697771272
524288,-0.0010048137210105779,-6.666797793286605e-05,-0.004303141100535868,0.0010223388671875,-0.004352080205535458
655360,-0.001003096262593317,-5.558226696678048e-05,-0.004320846792325028,-0.0048980712890625,-0.010277388300892198
786432,-0.0010116641760760103,-5.3933244856807505e-05,-0.0043834434254677035,-0.0012054443359375,-0.006654278845417139
917504,-0.0009947506068783696,-5.588689477065145e-05,-0.004479508286749478,0.0002288818359375,-0.005301093516663968
1048576,-0.0009957850720638817,-4.7633509609568137e-05,-0.004311090720875654,-0.0050201416015625,-0.010374525734732742
1179648,-0.0009825479100982193,-4.8714760765733445e-05,-0.004347143712948309,-0.0010223388671875,-0.006400662127816759
1310720,-0.0006614800076931715,-1.963455078168863e-05,-0.0035127257215208374,-0.0010223388671875,-0.005216179203216598
1441792,-0.0007287719959094829,-2.5127883667153128e-05,-0.0038148879320942797,0.000396728515625,-0.00417205938083498
1572864,-0.0008637986015855859,-3.898004168689795e-05,-0.004035852447486832,-0.004547119140625,-0.00948563610927522
1703936,-0.0009777521731848537,-5.300221179993514e-05,-0.0042746243670990225,-0.0016021728515625,-0.006907470557052875
1835008,-0.000960553134973452,-5.7888046256948655e-05,-0.004296701565181138,-0.0023193359375,-0.007634316091753135
1966080,-0.0009744518711158889,-5.5356322206989717e-05,-0.00428410184031236,-0.0021514892578125,-0.007465154596502543
2097152,-0.0009988371380131866,-5.199076068151953e-05,-0.0043105797449243255,-0.00048828125,-0.005849485834005463
2228224,-0.0009751380730449455,-4.984269958185905e-05,-0.004289616506866878,-0.0033111572265625,-0.008625673149253998
2359296,-0.0006762278740097827,-1.511282991373264e-05,-0.0033096312581619713,-0.0017547607421875,-0.005755732750913012
2490368,-0.0007535898707828892,-3.5944735188309096e-05,-0.0036369861554703675,-0.0003662109375,-0.004792527294739557
2621440,-0.0008588824998696509,-5.009616985773846e-05,-0.003929661714209942,-0.0061187744140625,-0.010957192147543537
2752512,-0.0009515694855508627,-6.287624725587193e-05,-0.004300587985198945,-0.0007476806640625,-0.006062510291485523
2883584,-0.0009581907197571127,-4.797006339174459e-05,-0.00429690890632628,-0.002044677734375,-0.007347705713073083
3014656,-0.000960099470376008,-5.720028920563891e-05,-0.004245403612003429,-0.0020904541015625,-0.007353076910476375
3145728,-0.0009447614952478034,-5.978697672048838e-05,-0.004255222385836532,-0.0006561279296875,-0.005915658205140062
3276800,-0.0009420152182428865,-4.778341155997623e-05,-0.004278465945390053,-0.0032958984375,-0.008564002375806012
3407872,-0.0006656927494077536,-1.5401289942928997e-05,-0.003146514822219615,-0.0009002685546875,-0.004727877443201578
3538944,-0.000732679909106082,-3.1073674840342846e-05,-0.0034518431712058373,-0.0001068115234375,-0.004322408331063343
3670016,-0.0008397251531278016,-4.7469958929013956e-05,-0.003824170251391479,-0.0040740966796875,-0.008785353337771085
3801088,-0.0009203136851283489,-3.9955526219159765e-05,-0.004183795219432795,-0.0017242431640625,-0.006868228707844537
3932160,-0.0009314542439824436,-5.027000233326362e-05,-0.00422036638337886,-0.002044677734375,-0.007246609388857905
4063232,-0.0009587179210939212,-4.544293209107764e-05,-0.004301572789700003,-0.0023956298828125,-0.007701120917317894
4194304,-0.0009330276784567104,-5.1849784085789e-05,-0.0042842811344598886,-0.00091552734375,-0.006184363546708482
4325376,-0.0009195252814606647,-4.0992595870648074e-05,-0.0042601646346156485,-0.0033111572265625,-0.008531761736321641
4456448,-0.0006411423296412977,-1.32616615857728e-05,-0.003291053682914935,-0.001953125,-0.005898582659938256
4587520,-0.000708922383182653,-4.252821697292575e-05,-0.003591234333725879,0.0002593994140625,-0.004083190340679721
4718592,-0.0008408715502810082,-4.7160725316075514e-05,-0.0038781245093559846,-0.0069427490234375,-0.01170873009641582
4849664,-0.0009380432243233372,-4.4250098923726e-05,-0.004183938330243109,-0.00048828125,-0.0056543971277278615
4980736,-0.0009142415096903278,-5.067769787103771e-05,-0.004228087525916635,-0.0020904541015625,-0.007283143632776046
5111808,-0.0009040551653924922,-6.003779768093409e-05,-0.004234447442286182,-0.00262451171875,-0.007822934475825605
5242880,-0.0008896240165086056,-5.655178227925717e-05,-0.004248128676408669,-0.00054931640625,-0.005743382162108901
5373952,-0.0009264897817047313,-5.121330329416196e-05,-0.004282211364625255,-0.0038604736328125,-0.009120266913214436
5505024,-0.0006180313448567176,-1.733610459098145e-05,-0.0032829665287863463,-0.0013885498046875,-0.005306883809680585
5636096,-0.0007067359124448558,-2.7375579215060952e-05,-0.003520419522828888,7.62939453125e-05,-0.004178205576863547
5767168,-0.0008520241267433448,-3.491022197010807e-05,-0.003852740506772534,-0.0059814453125,-0.010721013986767503
5898240,-0.0009323444633082545,-4.416604380708122e-05,-0.004236775703247986,-0.00067138671875,-0.005884553882879118
6029312,-0.0009033071496560297,-5.4935393166033464e-05,-0.004255480709616677,-0.0029144287109375,-0.008127831337333191
6160384,-0.0009079633327928605,-4.58853624962785e-05,-0.004199806538963458,-0.0028839111328125,-0.00803740745777759
6291456,-0.0008841412550282257,-3.701309364601002e-05,-0.004256935095327208,-0.00042724609375,-0.0056053354619507445
6422528,-0.0009063791126209253,-3.260576944086324e-05,-0.004174270565272309,-0.0040740966796875,-0.009187352135995752
6553600,-0.0007689141084483708,-7.631738711211256e-05,-0.0037816529238625662,-0.001922607421875,-0.0065494563564243435
6684672,-0.0008381185612051922,-7.176426748856102e-05,-0.004164547421169118,-0.0002593994140625,-0.00533312705147182
6815744,-0.0008559654052078258,-4.423454730329013e-05,-0.004234564243233763,-0.006195068359375,-0.011329714761359355
6946816,-0.0008957119239312306,-3.489034848769279e-05,-0.004169266612734646,-0.001129150390625,-0.006228980883406621
7077888,-0.0009108975013987219,-3.951367746424239e-05,-0.004222645246045431,-0.002197265625,-0.0073700835487215954
7208960,-0.0009379996040479455,-4.1003799992722634e-05,-0.004242110169798252,-0.0030517578125,-0.008272712521829817
7340032,-0.000896949560228677,-3.180677531133824e-05,-0.004271883273759158,-0.000274658203125,-0.005475257852140203
7471104,-0.0008667661081744882,-2.8890043694218548e-05,-0.004192436352241202,-0.0037841796875,-0.008872077730757155
7602176,-0.0006735546626259747,-1.4142919788184827e-05,-0.0033039473983080825,-0.0012664794921875,-0.005258124417196086
7733248,-0.0007613217903781333,-2.482769193790091e-05,-0.003578251282306155,-9.1552734375e-05,-0.004455920205145958
7864320,-0.0008459310088255734,-3.756788487407903e-05,-0.003865284355924814,-0.0055999755859375,-0.010348613774567639
7995392,-0.0009336086318398884,-4.5448852134200024e-05,-0.0041579226326575736,-0.001678466796875,-0.006815331078996678
8126464,-0.0008706333114787412,-4.7317202671592895e-05,-0.0042101274430024205,-0.0023040771484375,-0.007431922484556708
8257536,-0.0008762821021264244,-3.44525968500875e-05,-0.004216384812025353,-0.0020294189453125,-0.0071565384314453695
8388608,-0.0008452617298644327,-3.962236395693708e-05,-0.004167734714428661,-0.0010223388671875,-0.0060748806627088925
8519680,-0.0008976356507446326,-4.5519601286514444e-05,-0.004137970385272638,-0.0037689208984375,-0.00884993286081226
8650752,-0.0008109099526336649,-1.3429047008628459e-05,-0.003598785306166974,-0.0019073486328125,-0.006330472886929783
8781824,-0.0007544450600107666,-2.9632881080488005e-05,-0.0038209151280170772,0.0002593994140625,-0.004345593665220804
8912896,-0.0007741600952613226,-4.229414649614682e-05,-0.003861001558107091,-0.006256103515625,-0.01093338028749713
9043968,-0.0008939806862144906,-4.189812221966349e-05,-0.004112885568247293,-0.000518798828125,-0.005567524595790019
9175040,-0.0008802149718576402,-4.6694035077621265e-05,-0.004212357564028935,-0.0026702880859375,-0.007809440300206916
9306112,-0.000876141701155575,-3.991893495935983e-05,-0.004162007331615314,-0.00262451171875,-0.0077024626725687995
9437184,-0.0008418801285188238,-3.540158380133107e-05,-0.004147593532252358,0.0001068115234375,-0.00491798642451613
9568256,-0.0008613437958047143,-3.782308110089616e-05,-0.004165936368735856,-0.003265380859375,-0.008330367052622023
9699328,-0.0008626722642475215,-1.4840304309871044e-05,-0.004415512223204132,-0.001251220703125,-0.0065442452055322065
9830400,-0.0007617788714924245,-2.599484777476846e-05,-0.004459877171029802,0.0001983642578125,-0.005049286401572317
9961472,-0.000818047143638978,-3.621924945207411e-05,-0.004295368418752332,-0.0046234130859375,-0.009772931538918783
10092544,-0.0009169364579975081,-3.674924576557714e-05,-0.004273681584891165,-0.0010986328125,-0.006326000064291293
10223616,-0.0008777364350862626,-3.6988890073530456e-05,-0.004257303620761377,-0.001373291015625,-0.006545242313677591
10354688,-0.0008570204495299549,-4.222321788915906e-05,-0.004179554322035983,-0.0021209716796875,-0.007199653494353697
10485760,-0.0008423866206612729,-3.3559592473864086e-05,-0.004123712475120556,-0.0009765625,-0.005976144913347525
10616832,-0.0008679655893502058,-3.243182102607989e-05,-0.0041119945963146165,-0.0032501220703125,-0.008262399057002767
10747904,-0.0006097124996813363,-1.5932280078345684e-05,-0.003276710429418017,-0.0009918212890625,-0.004894176390735083
10878976,-0.000739535990760487,-2.0729608870340144e-05,-0.0036580568848876283,0.0004119873046875,-0.004006299821867287
11010048,-0.0008182666988432175,-2.893652700919347e-05,-0.003992664056568174,-0.0042266845703125,-0.009066444889413106
11141120,-0.0008647687500342727,-3.516490201604938e-05,-0.004164536625467008,-0.00079345703125,-0.00585788860462344
11272192,-0.0008838372509671899,-3.5636396745530874e-05,-0.0042056919573951745,-0.0021209716796875,-0.007246058585224091
11403264,-0.0008997743943837122,-2.540700863562506e-05,-0.004247183249390218,-0.0018310546875,-0.007003262689522671
11534336,-0.0008462547384624486,-2.5311245657633208e-05,-0.0041969621925090905,-0.0005950927734375,-0.005663582143370149
11665408,-0.000822046099074214,-2.567948244092122e-05,-0.004150340449996293,-0.002960205078125,-0.007958193792546808
11796480,-0.000795767875843012,-1.700750203070811e-05,-0.004329452571255388,-0.0001220703125,-0.005264298109523224
11927552,-0.0007108939303179795,-2.322738188098583e-05,-0.004390983634948498,-0.0001983642578125,-0.0053234690253702865
12058624,-0.0007703126102569513,-3.005418552959327e-05,-0.004308161278459011,-0.0030975341796875,-0.008206023081584135
12189696,-0.0008442754942734609,-3.867841201099509e-05,-0.004115981922950596,-0.0018768310546875,-0.0068757669569095015
12320768,-0.0008658115352773166,-2.632333359997574e-05,-0.004168427698459709,-0.000579833984375,-0.0056403580611004145
12451840,-0.0008009695488908619,-3.985861176403205e-05,-0.0041759620180528145,-0.0026702880859375,-0.007686925457164762
12582912,-0.0007930294714242336,-3.4365214574449965e-05,-0.0041332176042487845,-0.0018463134765625,-0.0068068880368628015
12713984,-0.0007783027417644917,-3.537967165812006e-05,-0.004080453025380848,-0.0020904541015625,-0.0069845149637330906
12845056,-0.0007281433536263648,-2.7376242620391622e-05,-0.0033078002106776694,-0.001922607421875,-0.0059859272305402556
12976128,-0.0007444203693012241,-4.2952398032980454e-05,-0.003563595553714549,0.0,-0.004350803700617689
13107200,-0.0007806013254594291,-3.910667157924763e-05,-0.003739730656889151,-0.0067138671875,-0.011273269614775927
13238272,-0.0008653077302369638,-2.972381913934896e-05,-0.004019727541162865,0.000213623046875,-0.004701100651345769
13369344,-0.0008859068352649047,-3.4627870405756767e-05,-0.004068946733241319,-0.00164794921875,-0.006637430592491
13500416,-0.0008671574737491028,-2.9374416222083255e-05,-0.004025590562378056,-0.00274658203125,-0.007668590502362349
13631488,-0.0008349933591489389,-2.579781587286334e-05,-0.003981361298428965,-6.103515625e-05,-0.004903187626950967
13762560,-0.0007746793962724041,-2.966760764877563e-05,-0.00391718816536013,-0.003326416015625,-0.008047916403029376
13893632,-0.0006750229595127166,-1.4985374008347208e-05,-0.003354263277287828,-0.001739501953125,-0.005783773613984522
14024704,-0.0006808625903431675,-3.9131495242372694e-05,-0.0035872800781362457,0.0003204345703125,-0.003986775573139312
14155776,-0.0007795423748575558,-2.772606615053519e-05,-0.0038183491706149653,-0.0055389404296875,-0.01016452379326438
14286848,-0.0008042063400353072,-2.7441668308370026e-05,-0.004053130502143176,0.0008087158203125,-0.0040759522403277515
14417920,-0.0008456582359031017,-2.9469240992341383e-05,-0.004118951417694916,-0.00146484375,-0.0064588841100885475
14548992,-0.0008399011890105612,-2.856389503591572e-05,-0.004065589819219895,-0.00189208984375,-0.0068261447549957666
14680064,-0.0008318478421642794,-3.7472742519639723e-05,-0.0041117152431979775,-0.0001373291015625,-0.005118173512983049
14811136,-0.0008141874586726772,-3.486823131026995e-05,-0.004029655374324648,-0.00341796875,-0.00829667976267956
14942208,-0.0006014911941747414,-2.6037039571491505e-05,-0.0032738112677179743,-0.0020751953125,-0.005976534794172039
15073280,-0.0007010422145867778,-2.725845822837414e-05,-0.0035251382232672768,0.0002288818359375,-0.0040244926831292105
15204352,-0.0008087456940302218,-2.1529781321305563e-05,-0.0038240431840677047,-0.00701904296875,-0.011673362048895797
15335424,-0.0008005963577488728,-3.110847546849982e-05,-0.004055671577589237,-0.0005340576171875,-0.0054214340470934985
15466496,-0.0007686161520723545,-3.3250532133877186e-05,-0.004020988462798414,-0.0020751953125,-0.006898014053604129
15597568,-0.0008189973682419804,-2.303835523065345e-05,-0.004071456876772572,-0.00189208984375,-0.006805545756833453
15728640,-0.0008044180694923853,-2.940587158661856e-05,-0.004134712111408589,0.0010223388671875,-0.003946197174627741
15859712,-0.0008067296971603355,-3.058974269265491e-05,-0.0040202266100095585,-0.00201416015625,-0.00687166810985218
15990784,-0.0006941398787603248,-2.16836352180394e-05,-0.003347244170072372,-0.0019989013671875,-0.006061969066195161
16121856,-0.0007264204941748176,-2.6740637053990213e-05,-0.0035521470763342222,6.103515625e-05,-0.0042442076278348395
16252928,-0.0007544824725300714,-2.5711736839184596e-05,-0.0036720275438710814,-0.005950927734375,-0.010403149135527201
16384000,-0.0008185062997654313,-3.431888089266977e-05,-0.003934402364393463,-0.000885009765625,-0.005672237291037163
16515072,-0.0007724242700533068,-3.8265200714704406e-05,-0.004012901641544886,-0.002716064453125,-0.007539618017290195
16646144,-0.0008236952958213806,-3.472314250529962e-05,-0.003971989726778702,-0.0016021728515625,-0.006432472510368825
16777216,-0.0007376955909421667,-3.5471398405206855e-05,-0.004054107550473418,0.0,-0.0048272745680151274
16908288,-0.0007129441050892638,-4.357748072436607e-05,-0.003915610164767713,-0.004791259765625,-0.009463283437526115
17039360,-0.0006828000364293985,-1.4622596630431417e-05,-0.0032665633352735313,-0.0017547607421875,-0.005718746727325197
17170432,-0.0007057497923597111,-2.3103851532368935e-05,-0.0035390258926781826,0.000640869140625,-0.003626944102506968
17301504,-0.0007474109224858694,-2.56977769055311e-05,-0.003711891074999585,-0.005218505859375,-0.009703505581001082
17432576,-0.0007652982558283838,-2.3936817250103104e-05,-0.003976165957283229,-0.0004730224609375,-0.005238386439032183
17563648,-0.0007698020258430915,-2.311777301144957e-05,-0.003995056074927561,-0.0023345947265625,-0.007122570681076468
17694720,-0.0008589275303165778,-2.309203475903132e-05,-0.0040345000470551895,-0.0023651123046875,-0.0072816319689081865
17825792,-0.0008908632953534834,-3.2385168069026804e-05,-0.004164378609857522,-0.000274658203125,-0.005362206979043549
17956864,-0.0008798823328106664,-2.467789509097429e-05,-0.004045699588459684,-0.0042572021484375,-0.009207387502101483
18087936,-0.0006542222699863487,-1.4314239603407941e-05,-0.0033209990833711345,-0.0018310546875,-0.00582059029602533
18219008,-0.0006716534808219876,-2.9290572221896127e-05,-0.003539302728313487,0.0001373291015625,-0.004102885415250057
18350080,-0.0007086934620019747,-2.0426958222685698e-05,-0.0036165526344120735,-0.0068359375,-0.011181576360741019
18481152,-0.0007148694348870777,-2.1982181934276923e-05,-0.0038625247925665462,-9.1552734375e-05,-0.004690894388659217
18612224,-0.0007173250319283397,-2.8275809071942604e-05,-0.003916950528946472,-0.00299072265625,-0.007653203768768435
18743296,-0.0007732088224656763,-2.9735979467204743e-05,-0.0039751264557708055,-0.003204345703125,-0.007982345204709418
18874368,-0.0007133633603189082,-2.7974535356634078e-05,-0.00397735590559023,-0.0001220703125,-0.004840764147502341
19005440,-0.0007090563144629414,-2.826564522706576e-05,-0.003886252807205892,-0.0049285888671875,-0.00955212844792186
