attempt,collected_frames,explosions/rate,explosions/dirty_transitions
0,131072,,0
0,262144,0.0,
0,262144,,0
0,393216,0.0,
0,393216,,0
0,524288,0.0,
0,524288,,0
0,655360,0.0,
0,655360,,0
0,786432,0.0,
0,786432,,0
0,917504,0.0,
0,917504,,0
0,1048576,0.0,
0,1048576,,0
0,1179648,0.0,
0,1179648,,0
0,1310720,0.0,
0,1310720,,0
0,1441792,0.0,
0,1441792,,0
0,1572864,0.0,
0,1572864,,0
0,1703936,0.0,
0,1703936,,0
0,1835008,0.0,
0,1835008,,0
0,1966080,0.0,
0,1966080,,0
0,2097152,0.0,
0,2097152,,0
0,2228224,0.0,
0,2228224,,0
0,2359296,0.0,
0,2359296,,0
0,2490368,0.0,
0,2490368,,0
0,2621440,0.0,
0,2621440,,0
0,2752512,0.0,
0,2752512,,0
0,2883584,0.0,
0,2883584,,0
0,3014656,0.0,
0,3014656,,0
0,3145728,0.0,
0,3145728,,0
0,3276800,0.0,
0,3276800,,0
0,3407872,0.0,
0,3407872,,0
0,3538944,0.0,
0,3538944,,0
0,3670016,0.0,
0,3670016,,0
0,3801088,0.0,
0,3801088,,0
0,3932160,0.0,
0,3932160,,0
0,4063232,0.0,
0,4063232,,0
0,4194304,0.0,
0,4194304,,0
0,4325376,0.0,
0,4325376,,0
0,4456448,0.0,
0,4456448,,0
0,4587520,0.0,
0,4587520,,0
0,4718592,0.0,
0,4718592,,0
0,4849664,0.0,
0,4849664,,0
0,4980736,0.0,
0,4980736,,0
0,5111808,0.0,
0,5111808,,0
0,5242880,0.0,
0,5242880,,0
0,5373952,0.0,
0,5373952,,0
0,5505024,0.0,
0,5505024,,0
0,5636096,0.0,
0,5636096,,0
0,5767168,0.0,
0,5767168,,0
0,5898240,0.0,
0,5898240,,0
0,6029312,0.0,
0,6029312,,0
0,6160384,0.0,
0,6160384,,0
0,6291456,0.0,
0,6291456,,0
0,6422528,0.0,
0,6422528,,0
0,6553600,0.0,
0,6553600,,0
0,6684672,0.0,
0,6684672,,0
0,6815744,0.0,
0,6815744,,0
0,6946816,0.0,
0,6946816,,0
0,7077888,0.0,
0,7077888,,0
0,7208960,0.0,
0,7208960,,0
0,7340032,0.0,
0,7340032,,0
0,7471104,0.0,
0,7471104,,0
0,7602176,0.0,
0,7602176,,0
0,7733248,0.0,
0,7733248,,0
0,7864320,0.0,
0,7864320,,0
0,7995392,0.0,
0,7995392,,0
0,8126464,0.0,
0,8126464,,0
0,8257536,0.0,
0,8257536,,0
0,8388608,0.0,
0,8388608,,0
0,8519680,0.0,
0,8519680,,0
0,8650752,0.0,
0,8650752,,0
0,8781824,0.0,
0,8781824,,0
0,8912896,0.0,
0,8912896,,0
0,9043968,0.0,
0,9043968,,0
0,9175040,0.0,
0,9175040,,0
0,9306112,0.0,
0,9306112,,0
0,9437184,0.0,
0,9437184,,0
1,131072,,0
1,262144,0.0,
1,262144,,0
1,393216,0.0,
1,393216,,0
1,524288,0.0,
1,524288,,0
1,655360,0.0,
1,655360,,0
1,786432,0.0,
1,786432,,0
1,917504,0.0,
1,917504,,0
1,1048576,0.0,
1,1048576,,0
1,1179648,0.0,
1,1179648,,0
1,1310720,0.0,
1,1310720,,0
1,1441792,0.0,
1,1441792,,0
1,1572864,0.0,
1,1572864,,0
1,1703936,0.0,
1,1703936,,0
1,1835008,0.0,
1,1835008,,0
1,1966080,0.0,
1,1966080,,0
1,2097152,0.0,
1,2097152,,0
1,2228224,0.0,
1,2228224,,0
1,2359296,0.0,
1,2359296,,0
1,2490368,0.0,
1,2490368,,0
1,2621440,0.0,
1,2621440,,0
1,2752512,0.0,
1,2752512,,0
1,2883584,0.0,
1,2883584,,0
1,3014656,0.0,
1,3014656,,0
1,3145728,0.0,
1,3145728,,0
1,3276800,0.0,
1,3276800,,0
1,3407872,0.0,
1,3407872,,0
1,3538944,0.0,
1,3538944,,0
1,3670016,0.0,
1,3670016,,0
1,3801088,0.0,
1,3801088,,0
1,3932160,0.0,
1,3932160,,0
1,4063232,0.0,
1,4063232,,0
1,4194304,0.0,
1,4194304,,0
1,4325376,0.0,
1,4325376,,0
1,4456448,0.0,
1,4456448,,0
1,4587520,0.0,
1,4587520,,0
1,4718592,0.0,
1,4718592,,0
1,4849664,0.0,
1,4849664,,0
1,4980736,0.0,
1,4980736,,0
1,5111808,0.0,
1,5111808,,0
1,5242880,0.0,
1,5242880,,0
1,5373952,0.0,
1,5373952,,0
1,5505024,0.0,
1,5505024,,0
1,5636096,0.0,
1,5636096,,0
1,5767168,0.0,
1,5767168,,0
1,5898240,0.0,
1,5898240,,0
1,6029312,0.0,
1,6029312,,0
1,6160384,0.0,
1,6160384,,0
1,6291456,0.0,
1,6291456,,0
1,6422528,0.0,
1,6422528,,0
1,6553600,0.0,
1,6553600,,0
1,6684672,0.0,
1,6684672,,0
1,6815744,0.0,
1,6815744,,0
1,6946816,0.0,
1,6946816,,0
1,7077888,0.0,
1,7077888,,0
1,7208960,0.0,
1,7208960,,0
1,7340032,0.0,
1,7340032,,0
2,131072,,0
2,262144,0.0,
2,262144,,0
2,393216,0.0,
2,393216,,0
2,524288,0.0,
2,524288,,0
2,655360,0.0,
2,655360,,0
2,786432,0.0,
2,786432,,0
2,917504,0.0,
2,917504,,0
2,1048576,0.0,
2,1048576,,0
2,1179648,0.0,
2,1179648,,0
2,1310720,0.0,
2,1310720,,0
2,1441792,0.0,
2,1441792,,0
2,1572864,0.0,
2,1572864,,0
2,1703936,0.0,
2,1703936,,0
2,1835008,0.0,
2,1835008,,0
2,1966080,0.0,
2,1966080,,0
2,2097152,0.0,
2,2097152,,0
2,2228224,0.0,
2,2228224,,0
2,2359296,0.0,
2,2359296,,0
2,2490368,0.0,
2,2490368,,0
2,2621440,0.0,
2,2621440,,0
2,2752512,0.0,
2,2752512,,0
2,2883584,0.0,
2,2883584,,0
2,3014656,0.0,
2,3014656,,0
2,3145728,0.0,
2,3145728,,0
3,131072,,0
3,262144,0.0,
3,262144,,0
3,393216,0.0,
3,393216,,0
3,524288,0.0,
3,524288,,0
3,655360,0.0,
3,655360,,0
3,786432,0.0,
3,786432,,0
3,917504,0.0,
3,917504,,0
3,1048576,0.0,
3,1048576,,0
3,1179648,0.0,
3,1179648,,0
3,1310720,0.0,
3,1310720,,0
3,1441792,0.0,
3,1441792,,0
3,1572864,0.0,
3,1572864,,0
3,1703936,0.0,
3,1703936,,0
3,1835008,0.0,
3,1835008,,0
3,1966080,0.0,
3,1966080,,0
3,2097152,0.0,
3,2097152,,0
3,2228224,0.0,
3,2228224,,0
3,2359296,0.0,
3,2359296,,0
3,2490368,0.0,
3,2490368,,0
3,2621440,0.0,
3,2621440,,0
3,2752512,0.0,
3,2752512,,0
3,2883584,0.0,
3,2883584,,0
3,3014656,0.0,
3,3014656,,0
3,3145728,0.0,
3,3145728,,0
3,3276800,0.0,
3,3276800,,0
3,3407872,0.0,
3,3407872,,0
3,3538944,0.0,
3,3538944,,0
3,3670016,0.0,
3,3670016,,0
3,3801088,0.0,
3,3801088,,0
3,3932160,0.0,
3,3932160,,0
3,4063232,0.0,
3,4063232,,0
3,4194304,0.0,
3,4194304,,0
3,4325376,0.0,
3,4325376,,0
3,4456448,0.0,
3,4456448,,0
3,4587520,0.0,
3,4587520,,0
3,4718592,0.0,
3,4718592,,0
3,4849664,0.0,
3,4849664,,0
3,4980736,0.0,
3,4980736,,0
3,5111808,0.0,
3,5111808,,0
3,5242880,0.0,
3,5242880,,0
3,5373952,0.0,
3,5373952,,0
3,5505024,0.0,
3,5505024,,0
3,5636096,0.0,
3,5636096,,0
3,5767168,0.0,
3,5767168,,0
3,5898240,0.0,
3,5898240,,0
3,6029312,0.0,
3,6029312,,0
3,6160384,0.0,
3,6160384,,0
3,6291456,0.0,
3,6291456,,0
3,6422528,0.0,
3,6422528,,0
3,6553600,0.0,
3,6553600,,0
3,6684672,0.0,
3,6684672,,0
3,6815744,0.0,
3,6815744,,0
3,6946816,0.0,
3,6946816,,0
3,7077888,0.0,
3,7077888,,0
3,7208960,0.0,
3,7208960,,0
3,7340032,0.0,
3,7340032,,0
3,7471104,0.0,
3,7471104,,0
3,7602176,0.0,
3,7602176,,0
3,7733248,0.0,
3,7733248,,0
3,7864320,0.0,
3,7864320,,0
3,7995392,0.0,
3,7995392,,0
3,8126464,0.0,
3,8126464,,0
3,8257536,0.0,
3,8257536,,0
3,8388608,0.0,
3,8388608,,0
3,8519680,0.0,
3,8519680,,0
3,8650752,0.0,
3,8650752,,0
3,8781824,0.0,
3,8781824,,0
3,8912896,0.0,
3,8912896,,0
3,9043968,0.0,
3,9043968,,0
3,9175040,0.0,
3,9175040,,0
3,9306112,0.0,
3,9306112,,0
3,9437184,0.0,
3,9437184,,0
3,9568256,0.0,
3,9568256,,0
3,9699328,0.0,
3,9699328,,0
3,9830400,0.0,
3,9830400,,0
3,9961472,0.0,
3,9961472,,0
3,10092544,0.0,
3,10092544,,0
3,10223616,0.0,
3,10223616,,0
3,10354688,0.0,
3,10354688,,0
3,10485760,0.0,
3,10485760,,0
3,10616832,0.0,
3,10616832,,0
3,10747904,0.0,
3,10747904,,0
3,10878976,0.0,
3,10878976,,0
3,11010048,0.0,
3,11010048,,0
3,11141120,0.0,
3,11141120,,0
3,11272192,0.0,
3,11272192,,0
3,11403264,0.0,
3,11403264,,0
3,11534336,0.0,
3,11534336,,0
3,11665408,0.0,
3,11665408,,0
3,11796480,0.0,
3,11796480,,0
3,11927552,0.0,
3,11927552,,0
3,12058624,0.0,
3,12058624,,0
3,12189696,0.0,
3,12189696,,0
3,12320768,0.0,
3,12320768,,0
3,12451840,0.0,
3,12451840,,0
3,12582912,0.0,
3,12582912,,0
3,12713984,0.0,
3,12713984,,0
3,12845056,0.0,
3,12845056,,0
3,12976128,0.0,
3,12976128,,0
3,13107200,0.0,
3,13107200,,0
3,13238272,0.0,
3,13238272,,0
3,13369344,0.0,
3,13369344,,0
3,13500416,0.0,
3,13500416,,0
3,13631488,0.0,
3,13631488,,0
3,13762560,0.0,
3,13762560,,0
3,13893632,0.0,
3,13893632,,0
3,14024704,0.0,
3,14024704,,0
3,14155776,0.0,
3,14155776,,0
3,14286848,0.0,
3,14286848,,0
3,14417920,0.0,
3,14417920,,0
3,14548992,0.0,
3,14548992,,0
3,14680064,0.0,
3,14680064,,0
3,14811136,0.0,
3,14811136,,0
3,14942208,0.0,
3,14942208,,0
3,15073280,0.0,
3,15073280,,0
3,15204352,0.0,
3,15204352,,0
3,15335424,0.0,
3,15335424,,0
3,15466496,0.0,
3,15466496,,0
3,15597568,0.0,
3,15597568,,0
3,15728640,0.0,
3,15728640,,0
3,15859712,0.0,
3,15859712,,0
3,15990784,0.0,
3,15990784,,0
3,16121856,0.0,
3,16121856,,0
3,16252928,0.0,
3,16252928,,0
3,16384000,0.0,
3,16384000,,0
3,16515072,0.0,
3,16515072,,0
3,16646144,0.0,
3,16646144,,0
3,16777216,0.0,
3,16777216,,0
3,16908288,0.0,
3,16908288,,0
3,17039360,0.0,
3,17039360,,0
3,17170432,0.0,
3,17170432,,0
3,17301504,0.0,
3,17301504,,0
3,17432576,0.0,
3,17432576,,0
3,17563648,0.0,
3,17563648,,0
3,17694720,0.0,
3,17694720,,0
3,17825792,0.0,
3,17825792,,0
3,17956864,0.0,
3,17956864,,0
3,18087936,0.0,
3,18087936,,0
3,18219008,0.0,
3,18219008,,0
3,18350080,0.0,
3,18350080,,0
3,18481152,0.0,
3,18481152,,0
3,18612224,0.0,
3,18612224,,0
3,18743296,0.0,
3,18743296,,0
3,18874368,0.0,
3,18874368,,0
3,19005440,0.0,
3,19005440,,0
3,19136512,0.0,
3,19136512,,0
3,19267584,0.0,
3,19267584,,0
3,19398656,0.0,
3,19398656,,0
3,19529728,0.0,
3,19529728,,0
3,19660800,0.0,
3,19660800,,0
3,19791872,0.0,
3,19791872,,0
3,19922944,0.0,
3,19922944,,0
3,20054016,0.0,
3,20054016,,0
3,20185088,0.0,
3,20185088,,0
3,20316160,0.0,
3,20316160,,0
3,20447232,0.0,
3,20447232,,0
3,20578304,0.0,
3,20578304,,0
3,20709376,0.0,
3,20709376,,0
3,20840448,0.0,
3,20840448,,0
3,20971520,0.0,
3,20971520,,0
3,21102592,0.0,
3,21102592,,0
3,21233664,0.0,
3,21233664,,0
3,21364736,0.0,
3,21364736,,0
3,21495808,0.0,
3,21495808,,0
3,21626880,0.0,
3,21626880,,0
3,21757952,0.0,
3,21757952,,0
3,21889024,0.0,
3,21889024,,0
3,22020096,0.0,
3,22020096,,0
