attempt,collected_frames,explosions/dirty_envs,explosions/skipped_updates,explosions/skipped_updates_frac,explosions/rate
0,262144,,,,0.0
0,262144,0,0,0.0,
0,393216,,,,0.0
0,393216,0,0,0.0,
0,524288,,,,0.0
0,524288,0,0,0.0,
0,655360,,,,0.0
0,655360,0,0,0.0,
0,786432,,,,0.0
0,786432,0,0,0.0,
0,917504,,,,0.0
0,917504,0,0,0.0,
0,1048576,,,,0.0
0,1048576,0,0,0.0,
0,1179648,,,,0.0
0,1179648,0,0,0.0,
0,1310720,,,,0.0
0,1310720,0,0,0.0,
0,1441792,,,,0.0
0,1441792,0,0,0.0,
0,1572864,,,,0.0
0,1572864,0,0,0.0,
0,1703936,,,,0.0
0,1703936,0,0,0.0,
0,1835008,,,,0.0
0,1835008,0,0,0.0,
0,1966080,,,,0.0
0,1966080,0,0,0.0,
0,2097152,,,,0.0
0,2097152,0,0,0.0,
0,2228224,,,,0.0
0,2228224,0,0,0.0,
0,2359296,,,,0.0
0,2359296,0,0,0.0,
0,2490368,,,,0.0
0,2490368,0,0,0.0,
0,2621440,,,,0.0
0,2621440,0,0,0.0,
0,2752512,,,,0.0
0,2752512,0,0,0.0,
0,2883584,,,,0.0
0,2883584,0,0,0.0,
0,3014656,,,,0.0
0,3014656,0,0,0.0,
0,3145728,,,,0.0
0,3145728,0,0,0.0,
0,3276800,,,,0.0
0,3276800,0,0,0.0,
0,3407872,,,,0.0
0,3407872,0,0,0.0,
0,3538944,,,,0.0
0,3538944,0,0,0.0,
0,3670016,,,,0.0
0,3670016,0,0,0.0,
0,3801088,,,,0.0
0,3801088,0,0,0.0,
0,3932160,,,,0.0
0,3932160,0,0,0.0,
0,4063232,,,,0.0
0,4063232,0,0,0.0,
0,4194304,,,,0.0
0,4194304,0,0,0.0,
0,4325376,,,,0.0
0,4325376,0,0,0.0,
0,4456448,,,,0.0
0,4456448,0,0,0.0,
0,4587520,,,,0.0
0,4587520,0,0,0.0,
0,4718592,,,,0.0
0,4718592,0,0,0.0,
0,4849664,,,,0.0
0,4849664,0,0,0.0,
0,4980736,,,,0.0
0,4980736,0,0,0.0,
0,5111808,,,,0.0
0,5111808,0,0,0.0,
0,5242880,,,,0.0
0,5242880,0,0,0.0,
0,5373952,,,,0.0
0,5373952,0,0,0.0,
0,5505024,,,,0.0
0,5505024,0,0,0.0,
0,5636096,,,,0.0
0,5636096,0,0,0.0,
0,5767168,,,,0.0
0,5767168,0,0,0.0,
0,5898240,,,,0.0
0,5898240,0,0,0.0,
0,6029312,,,,0.0
0,6029312,0,0,0.0,
0,6160384,,,,0.0
0,6160384,0,0,0.0,
0,6291456,,,,0.0
0,6291456,0,0,0.0,
0,6422528,,,,0.0
0,6422528,0,0,0.0,
0,6553600,,,,0.0
0,6553600,0,0,0.0,
0,6684672,,,,0.0
0,6684672,0,0,0.0,
0,6815744,,,,0.0
0,6815744,0,0,0.0,
0,6946816,,,,0.0
0,6946816,0,0,0.0,
0,7077888,,,,0.0
0,7077888,0,0,0.0,
0,7208960,,,,0.0
0,7208960,0,0,0.0,
0,7340032,,,,0.0
0,7340032,0,0,0.0,
0,7471104,,,,0.0
0,7471104,0,0,0.0,
0,7602176,,,,0.0
0,7602176,0,0,0.0,
0,7733248,,,,0.0
0,7733248,0,0,0.0,
0,7864320,,,,0.0
0,7864320,0,0,0.0,
0,7995392,,,,0.0
0,7995392,0,0,0.0,
0,8126464,,,,0.0
0,8126464,0,0,0.0,
0,8257536,,,,0.0
0,8257536,0,0,0.0,
0,8388608,,,,0.0
0,8388608,0,0,0.0,
0,8519680,,,,0.0
0,8519680,0,0,0.0,
0,8650752,,,,0.0
0,8650752,0,0,0.0,
0,8781824,,,,0.0
0,8781824,0,0,0.0,
0,8912896,,,,0.0
0,8912896,0,0,0.0,
0,9043968,,,,0.0
0,9043968,0,0,0.0,
0,9175040,,,,0.0
0,9175040,0,0,0.0,
0,9306112,,,,0.0
0,9306112,0,0,0.0,
0,9437184,,,,0.0
0,9437184,0,0,0.0,
0,9568256,,,,0.0
0,9568256,0,0,0.0,
0,9699328,,,,0.0
0,9699328,0,0,0.0,
0,9830400,,,,0.0
0,9830400,0,0,0.0,
