collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
131072,3.639643369242549,-0.06234124206821434,-0.05354201572481543,-0.03457078503031141,-0.21745300450129434,-0.12092477496889842,-0.20863771461881697,-0.0008043708085097023,-0.013455004203962062,6.290391601622105,0.6933395061641932,-0.05948888882994652,0.14839326502988115,10.000046905130148
262144,2.731531325727701,-0.06743092770921066,-0.05647900962503627,-0.052864969591610134,-0.21507152018602937,-0.22964288259390742,-0.19258068676572293,-0.0007596933983222698,-0.021568331838352606,5.459034018218517,0.702349450904876,-0.05959511816035956,0.3466362567996839,8.339605007320642
393216,3.0605742875486612,-0.06498646730324253,-0.055104863859014586,-0.042416298791067675,-0.20846366719342768,-0.20719319535419345,-0.19760094641242176,-0.000995626574876951,-0.02021013156627305,5.6549778170883656,0.6965746940113604,-0.059701348829548806,0.23770610555948224,8.79066215083003
524288,2.865196654573083,-0.06607324082870036,-0.056932569917989895,-0.05171061897999607,-0.21693373704329133,-0.21501112706027925,-0.19721657678019255,-0.0011334553119013435,-0.02132278615317773,5.480077356100082,0.7075757822021842,-0.05980757996439934,0.32095159085292835,8.485193438827991
655360,2.9590540155768394,-0.06589302586507984,-0.05685784370871261,-0.04605212088790722,-0.21161526627838612,-0.21013635711278766,-0.19399380520917475,-0.0009704000894998899,-0.02073604146426078,5.545508228242397,0.7034662370570004,-0.05991381034255028,0.2866584563453216,8.62501297518611
786432,2.88398028165102,-0.06486805021995679,-0.05533263547113165,-0.05101106336223893,-0.2151975897140801,-0.21892007335554808,-0.19497273198794574,-0.0011539019960764563,-0.020480928957113065,5.506516698747873,0.7036221255548298,-0.06002004072070122,0.3017912702925969,8.511074792593718
917504,2.920622956007719,-0.06407642460544594,-0.05511799838859588,-0.05278247912065126,-0.21316401159856468,-0.22493823617696762,-0.19583911204244941,-0.0008324243026436307,-0.019375070274691097,5.531861171126366,0.6990687688812613,-0.0601262720010709,0.2896288849733537,8.552216842770576
1048576,2.939541118219495,-0.06378659736947156,-0.05494571608141996,-0.04919221519958228,-0.21461771067697555,-0.2089700395008549,-0.1967808339977637,-0.00042697582193795824,-0.01901834939053515,5.602603189647198,0.699158831499517,-0.06023250144789927,0.28194546401209664,8.65178169310093
1179648,2.912112755700946,-0.06338656321167946,-0.05470824445364997,-0.04660270822932944,-0.214377952972427,-0.2189310018438846,-0.19413641560822725,-0.0008881867640866403,-0.01926584324974101,5.465352915227413,0.6961484756320715,-0.06033873185515404,0.3055958219920285,8.504203241318464
1310720,2.9117904100567102,-0.06317111622774974,-0.05396414897404611,-0.04754491812491324,-0.2129696496995166,-0.22390970878768712,-0.19303313759155571,-0.0008283668039439362,-0.0185619745097938,5.458571024239063,0.6973573472350836,-0.060444961360190064,0.29442173303687014,8.485518798232079
