collected_frames,grad_contrib/traversal_reward,grad_contrib/direction_penalty
131072,0.9948208326770258,0.005179167322974222
262144,-0.04553648995856663,-0.9544635100414334
393216,-0.9905567475072803,-0.009443252492719743
524288,-0.14824859111071126,-0.8517514088892888
655360,-0.9912552748057102,-0.008744725194289782
786432,-0.729830214181452,-0.270169785818548
917504,-0.08010744375622225,-0.9198925562437777
1048576,0.9948507389757465,-0.005149261024253465
1179648,-0.06440982096361798,-0.935590179036382
1310720,-0.8778112075783476,-0.12218879242165238
1441792,-0.17145497858497977,-0.8285450214150203
1572864,0.9867984557280005,0.01320154427199954
1703936,-0.02121561686091662,-0.9787843831390833
1835008,-0.901158604678055,-0.09884139532194501
1966080,-0.042308269650954876,-0.9576917303490451
2097152,-0.9840337641477562,-0.015966235852243733
2228224,-0.736471170616376,-0.263528829383624
2359296,0.04310043767063533,-0.9568995623293647
