collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,708.964925289154,1000.0,1.4848480522632599,698.2756061553955,1000.0,1.6044135242700577,705.8173608779907,1000.0,1.2294061090797186,699.4587993621826,1000.0,1.366300418972969
262144,710.2147297859192,1000.0,1.3905846583656967,699.9784264564514,1000.0,1.466765709221363,706.8169069290161,1000.0,1.4554025754332542,698.8557758331299,1000.0,1.5463026314973831
393216,706.4243445396423,1000.0,1.4926530048251152,698.0588397979736,1000.0,1.3497212380170822,706.550669670105,1000.0,1.5014046765863895,698.175112247467,1000.0,1.5062931962311268
524288,705.0195469856262,1000.0,1.3801964931190014,698.60422706604,1000.0,1.3705000802874565,706.7594900131226,1000.0,1.284875595709309,700.0896282196045,1000.0,1.682942546904087
655360,702.088080406189,1000.0,1.4284053891897202,696.4196290969849,1000.0,1.3832076340913773,704.1001863479614,1000.0,1.2884970605373383,700.550323009491,1000.0,1.4154154639691114
786432,705.3199782371521,1000.0,1.4891611435450613,696.1446499824524,1000.0,1.6250896379351616,708.1008534431458,1000.0,1.7844674587249756,699.3805923461914,1000.0,1.5975877419114113
917504,705.5062031745911,1000.0,1.597134079784155,696.4919214248657,1000.0,1.4309071418829262,710.14994764328,1000.0,1.5573618691414595,701.316324710846,1000.0,1.6280459966510534
1048576,693.6775841712952,1000.0,1.3344831317663193,690.9513840675354,1000.0,1.5614732692483813,709.8210873603821,1000.0,1.590519692748785,703.003867149353,1000.0,1.2862472161650658
1179648,684.453125,1000.0,1.1256513614207506,685.9038352966309,1000.0,1.3078567022457719,709.3500108718872,1000.0,1.5193494632840157,700.3069539070129,1000.0,1.4928063619881868
1310720,693.0530385971069,1000.0,1.5228971242904663,683.5993642807007,1000.0,1.3381564766168594,704.1649031639099,1000.0,1.5095650777220726,696.7630567550659,1000.0,1.2681188099086285
1441792,707.3329076766968,1000.0,1.8086208198219538,696.2661123275757,1000.0,1.3068565651774406,707.4335885047913,1000.0,1.8741146251559258,701.9075412750244,1000.0,1.4967439230531454
1572864,704.2241334915161,1000.0,1.588999718427658,694.0019302368164,1000.0,1.3727835789322853,706.9947943687439,1000.0,1.4282950907945633,696.9380903244019,1000.0,1.4290402457118034
1703936,702.7532691955566,1000.0,1.573852352797985,692.0139374732971,1000.0,1.2454633191227913,704.0886235237122,1000.0,1.3654099702835083,695.9674530029297,1000.0,1.2754562050104141
1835008,703.9667067527771,1000.0,1.6470962911844254,690.1664385795593,1000.0,1.3809615522623062,700.5900249481201,1000.0,1.6969988979399204,697.0414137840271,1000.0,1.4612136771902442
1966080,704.529043674469,1000.0,1.5726501941680908,689.1975288391113,1000.0,1.474343885667622,698.152859210968,1000.0,1.5138743435963988,695.2674388885498,1000.0,1.4124413952231407
2097152,709.2715592384338,1000.0,1.4193890262395144,694.5843954086304,1000.0,1.4351109489798546,703.209668636322,1000.0,1.5426599718630314,698.1310195922852,1000.0,1.2521731201559305
2228224,709.3241386413574,1000.0,1.32798370718956,691.8731079101562,1000.0,1.3573852139525115,702.6406631469727,1000.0,1.6197699960321188,696.3453226089478,1000.0,1.4979401659220457
2359296,706.9253182411194,1000.0,1.4144718572497368,689.0145411491394,1000.0,1.2176041640341282,701.538537979126,1000.0,1.5277326591312885,692.420205116272,1000.0,1.5154562192037702
