collected_frames,rew/shaping,rew/step_penalty,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5146779399365187,-0.05948889055363965,-0.06905300235303002,-0.08039226589608006,-0.032821673950582664,-0.22739447199273854,-0.0534412517140197,-0.1573854730813764,-0.3437109857768519,-0.007852168261194947,-0.07082479460405011,0.7061148942448199,-0.006169349362608045,1.112043396802619
262144,1.6425846256315708,-0.05959512071534246,-0.127643070591148,-0.14889101992594078,-0.1433279089978896,-0.24684654991142452,-0.16037350823171437,-0.1799806278431788,-0.16455226839752868,-0.025339060608530417,0.67819305928424,0.6954340967349708,-0.010510743348277174,1.7485204953700304
393216,1.5841336268931627,-0.059701350877045256,-0.15625024982728064,-0.17891726677771658,-0.21194037282839417,-0.23452798614744097,-0.1761757314670831,-0.1836157871875912,-0.12169333425117657,-0.029967934591695666,1.152490995824337,0.698066848795861,-0.007311821449548006,2.0740830367431045
524288,1.4312250912189484,-0.05980758103874816,-0.17284433904569596,-0.19229427236132324,-0.23961473570670933,-0.22282520623411983,-0.17425957357045263,-0.1886695766588673,-0.09404083612025715,-0.032407988284830935,1.365025568753481,0.7052891468629241,-0.004118434473639354,2.1201569018885493
655360,1.5496137654408813,-0.05991381120045137,-0.14207031663681846,-0.1512814342713682,-0.18787835877446923,-0.19261647190432996,-0.13282956086914055,-0.17361078382236883,-0.1100738100358285,-0.026534824930422474,1.7757912762463093,0.6906352853402495,-0.00510673200187739,2.83357660099864
786432,1.6923420308157802,-0.06002004136215428,-0.12034482054878026,-0.10637983644846827,-0.057275298924651,-0.21148344373796135,-0.13858393974078353,-0.20844025700353086,-0.13913585536647588,-0.022049857037927723,2.406630608253181,0.7043583476915956,-0.00015417458780575544,3.7393211126327515
917504,1.3332841852679849,-0.060126271523857085,-0.16569767671171576,-0.1319015967892483,-0.10578332940349355,-0.2019588453695178,-0.24112572998274118,-0.21209855016786605,-0.09613757202168927,-0.03972705622436479,2.0571298571303487,0.721131862141192,0.005461726395878941,2.8618203718215227
1048576,1.2194888144731522,-0.06023250168555988,-0.18955406523309648,-0.12117610312998295,-0.13576687313616276,-0.18552776845172048,-0.3360659859608859,-0.21287950547412038,-0.06403405813034624,-0.055013786419294775,1.9402314443141222,0.7076551672071218,0.004244934505550191,2.5108029171824455
1179648,1.180786251090467,-0.060338731847262794,-0.20487725688144565,-0.10307992639718577,-0.14272801182232797,-0.1745291231200099,-0.3922391668893397,-0.20801816822495311,-0.044910291413543746,-0.064821464009583,2.037372217513621,0.7034878018312156,0.005084592325147241,2.530787345021963
1310720,1.7082729106768966,-0.06044496200896602,-0.14103693320066668,-0.07486097623768728,-0.06311682978412136,-0.1637118689250201,-0.28263363137375563,-0.2045615275274031,-0.07556608377490193,-0.04066311365022557,3.11372541077435,0.6806749911047518,0.003947655146475881,4.399681018665433
