collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,709.2619543075562,1000.0,1.6669278740882874,698.4272618293762,1000.0,1.6313337981700897,705.8556265830994,1000.0,1.4582165479660034,699.8185133934021,1000.0,1.3665458355098963
262144,699.4586687088013,1000.0,1.5374932996928692,695.26948595047,1000.0,1.5945033449679613,699.3871455192566,1000.0,1.3446718752384186,698.1588153839111,1000.0,1.4949365518987179
393216,694.5410671234131,1000.0,1.4812719533219934,695.6490397453308,1000.0,1.152506548911333,696.9591317176819,1000.0,1.4625649088993669,693.7910003662109,1000.0,1.305906891822815
524288,682.7093143463135,1000.0,1.5140369608998299,694.6274924278259,1000.0,1.515809029340744,696.6511521339417,1000.0,1.437662654556334,692.7402682304382,1000.0,1.296729102730751
655360,680.6264247894287,1000.0,1.2404928905889392,694.029182434082,1000.0,1.489357877522707,693.6112356185913,1000.0,1.539663165807724,692.2785043716431,1000.0,1.592470943927765
786432,693.7265372276306,1000.0,1.3026066701859236,698.8213109970093,1000.0,1.397856593132019,697.6262454986572,1000.0,1.5418473780155182,702.5796637535095,1000.0,1.5117992777377367
917504,673.7071738243103,1000.0,1.377734100446105,696.5218710899353,1000.0,1.462526910007,696.4336557388306,1000.0,1.4933802876621485,701.107430934906,1000.0,1.6733051128685474
1048576,668.911572933197,1000.0,1.1621792269870639,689.0250482559204,1000.0,1.362331879325211,692.8998017311096,1000.0,1.3552894219756126,696.2658905982971,1000.0,1.6002545803785324
1179648,664.362612247467,1000.0,1.2409108970314264,680.2765421867371,1000.0,1.424979972653091,695.2962894439697,1000.0,1.354781836271286,695.2495074272156,1000.0,1.2492002248764038
1310720,682.416464805603,1000.0,1.3292466215789318,682.6737937927246,1000.0,1.3324508746154606,688.378653049469,1000.0,1.513379294425249,692.779459476471,1000.0,1.3938827812671661
1441792,684.1557931900024,1000.0,1.1267079841345549,693.1370630264282,1000.0,1.3639210313558578,699.4055676460266,1000.0,1.4016382899135351,696.8029894828796,1000.0,1.407681219279766
1572864,669.778847694397,1000.0,1.3904408551752567,684.3864302635193,1000.0,1.4238059313502163,691.7912788391113,1000.0,1.3918430283665657,691.6543040275574,1000.0,1.374439688399434
1703936,664.552933216095,1000.0,1.118960767518729,677.1790361404419,1000.0,1.3768315017223358,684.1990160942078,1000.0,1.6190385967493057,689.7395234107971,1000.0,1.4061410799622536
1835008,653.52738904953,1000.0,1.1005774354562163,669.6825966835022,1000.0,1.3074989020824432,676.8067874908447,1000.0,1.3008580058813095,684.5022563934326,1000.0,1.2172397449612617
1966080,673.591215133667,1000.0,1.209520522505045,687.5036215782166,1000.0,1.308895532041788,687.2278814315796,1000.0,1.522621862590313,689.8887243270874,1000.0,1.4133905172348022
2097152,656.5364017486572,1000.0,1.420332208275795,688.0912132263184,1000.0,1.377562515437603,676.3943037986755,1000.0,1.5357370860874653,690.0309209823608,1000.0,1.237924262881279
2228224,655.1674842834473,1000.0,1.2729243664070964,687.9816279411316,1000.0,1.3660825970582664,659.3896622657776,1000.0,1.3266949988901615,688.1205763816833,1000.0,1.3426030725240707
2359296,650.3244819641113,1000.0,1.2463731234893203,690.1560807228088,1000.0,1.567717389203608,654.0437121391296,1000.0,1.0802913941442966,685.5436143875122,1000.0,1.2452483153901994
2490368,649.323812007904,1000.0,1.2074929047375917,683.0165414810181,1000.0,1.353400994092226,660.325517654419,1000.0,1.166830500587821,681.9514756202698,1000.0,1.504612296819687
2621440,655.6087818145752,1000.0,1.3930592685937881,693.4713287353516,1000.0,1.3630765825510025,683.182569026947,1000.0,1.1609052866697311,690.6847729682922,1000.0,1.4479019418358803
2752512,649.5218143463135,1000.0,1.125190899707377,690.7742729187012,1000.0,1.4578231498599052,673.4829726219177,1000.0,1.287473720498383,675.3110284805298,1000.0,1.338048405945301
2883584,660.3037996292114,1000.0,1.3266896642744541,688.4494714736938,1000.0,1.5720707550644875,676.6744723320007,1000.0,1.289733961224556,674.4261016845703,1000.0,1.425291764549911
3014656,659.1963505744934,1000.0,1.2803626973181963,692.9248194694519,1000.0,1.5273591186851263,676.0832810401917,1000.0,1.3392976969480515,674.0119485855103,1000.0,1.2133856192231178
3145728,661.1875982284546,1000.0,1.242621537297964,697.6400742530823,1000.0,1.5618555340915918,668.0738053321838,1000.0,1.3254749607294798,669.3532156944275,1000.0,1.3756704945117235
3276800,659.3435473442078,1000.0,1.2179827075451612,697.0708265304565,1000.0,1.6493345582857728,662.8997812271118,1000.0,1.2143971975892782,667.4197082519531,1000.0,1.3360930271446705
3407872,660.8114366531372,1000.0,1.208573943004012,693.9861545562744,1000.0,1.5118994526565075,662.099835395813,1000.0,1.1487485002726316,666.0085678100586,1000.0,1.3606730997562408
3538944,667.2536339759827,1000.0,1.2813263246789575,699.234721660614,1000.0,1.5480911638587713,668.9364032745361,1000.0,1.1577839739620686,667.574896812439,1000.0,1.1905881650745869
3670016,660.0765700340271,1000.0,1.3396357968449593,696.9764518737793,1000.0,1.6999375075101852,661.0586495399475,1000.0,1.1435975655913353,663.6817960739136,1000.0,1.175377644598484
