collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
524288,2.1393938625697047,-0.055507326949737035,-0.053180184831944644,-0.001636430777363529,-0.18236082296061795,-0.0191966513132229,-0.19087744507851312,-0.0005813633803857243,-0.0006515920450969048,-0.017363886543080298,0.7075195790966973,-0.05948888882994652,-0.007483192268409766,2.258033303078264
1048576,2.270086393225938,-0.05585909234469,-0.052890459659465705,-0.001614021116164821,-0.18039944990596268,-0.021962993431770883,-0.18929548666346818,-0.0005761593267834542,-0.0005724769080472925,0.4833817923790775,0.707742755417712,-0.05991381034255028,-0.0017708317573124077,2.8961830982007086
1572864,2.2795893021393567,-0.0561006473199086,-0.05336991039257555,-0.0025287549533032916,-0.19033396802842617,-0.031843860211210995,-0.1920958526316099,-0.0005473645173879049,-0.0010409875883397035,0.9026029894594103,0.7085279640741646,-0.06033873185515404,1.8579958123154938e-05,3.3025121921673417
2097152,2.270396617008373,-0.056836710286006564,-0.053879387727647554,-0.0036220165343365807,-0.19953393562173005,-0.04103461686281662,-0.19599583392846398,-0.0003839863361463358,-0.0014482587650945788,1.212672833353281,0.7056638231733814,-0.0607636533677578,-0.0001142472101491876,3.575107348151505
2621440,2.315284328069538,-0.0566018256922689,-0.05361338910915947,-0.004663649325806318,-0.20333144304458983,-0.048285089788805635,-0.19732651370577514,-0.0004504097660174011,-0.0020828718109839883,1.5129615165060386,0.7100564163411036,-0.06118857488036156,0.0006840995301899966,3.9114356646314263
3145728,2.26679040142335,-0.056638949741682154,-0.05323363205388887,-0.008760360796600253,-0.21018796271528117,-0.055378969566845626,-0.19801116094458848,-0.0003990916252405441,-0.0026488497300647396,1.6981915077194571,0.7128675946732983,-0.06161349266767502,0.008476232404063921,4.039433521218598
3670016,2.198630162747577,-0.057103915271000005,-0.05350922781690315,-0.011562182509806007,-0.21543655813729856,-0.06734293962654192,-0.1991123636980774,-0.00044827344117948087,-0.003180664832484581,1.8603074632119387,0.7150444189319387,-0.06203841418027878,0.020582876917615067,4.124810014851391
4194304,2.3709177137352526,-0.05682924690336222,-0.05351708688613144,-0.012334353627920791,-0.21554833445406985,-0.06570285404086462,-0.19915200710238423,-0.0003975020026700804,-0.003293111337825394,2.1935026107821614,0.7152404572116211,-0.062463335700158495,0.037592465170746436,4.6479503572918475
4718592,2.3995010503567755,-0.05711789641281939,-0.053038643607578706,-0.01592998015757985,-0.21420971798943356,-0.07337315931363264,-0.19885079243977088,-0.0003823560679165894,-0.0035509426387534404,2.3748832179699093,0.7126676316838712,-0.0628882572054863,0.0688380839274032,4.8764965161681175
5242880,2.375101499259472,-0.05728053721395554,-0.05292343332803284,-0.018308942451767507,-0.21053575929545332,-0.09422570566675859,-0.19857237255200744,-0.0004380853814780483,-0.004800813101155654,2.5258593540638685,0.7146384282968938,-0.06331317871809006,0.06457792835499276,4.979469269514084
