attempt,collected_frames,diff/logprob_std,diff/logprob_mean
2,4718592,1.8086206912994385,-15.02142333984375
2,5242880,1.9055951833724976,-14.848514556884766
2,5767168,1.9857780933380127,-14.6534423828125
2,6291456,2.0662894248962402,-14.459864616394043
2,6815744,2.140254259109497,-14.223577499389648
2,7340032,2.2109780311584473,-14.027356147766113
2,7864320,2.250983238220215,-13.876596450805664
2,8388608,2.308823347091675,-13.702537536621094
2,8912896,2.360511302947998,-13.511608123779297
2,9437184,2.403721332550049,-13.336713790893555
2,9961472,2.443152904510498,-13.133268356323242
2,10485760,2.5020699501037598,-12.891368865966797
2,11010048,2.520986318588257,-12.77880859375
2,11534336,2.5540807247161865,-12.60572624206543
2,12058624,2.586043119430542,-12.486084938049316
2,12582912,2.6055805683135986,-12.295141220092773
2,13107200,2.6519811153411865,-12.133031845092773
2,13631488,2.6621694564819336,-12.060027122497559
2,14155776,2.6868791580200195,-12.026226043701172
2,14680064,2.71256422996521,-11.963751792907715
3,13107200,2.672379732131958,-12.059447288513184
3,13631488,2.6863555908203125,-11.937191009521484
3,14155776,2.723073959350586,-11.806636810302734
3,14680064,2.7743570804595947,-11.735990524291992
3,15204352,2.787724256515503,-11.63288688659668
3,15728640,2.8157150745391846,-11.52530288696289
3,16252928,2.814978837966919,-11.383691787719727
3,16777216,2.832045316696167,-11.254602432250977
3,17301504,2.847761869430542,-11.156492233276367
3,17825792,2.835040330886841,-11.137789726257324
3,18350080,2.8935928344726562,-10.913374900817871
3,18874368,2.8885390758514404,-10.816605567932129
3,19398656,2.9129459857940674,-10.64339828491211
3,19922944,2.920715808868408,-10.481216430664062
3,20447232,2.954332113265991,-10.472299575805664
3,20971520,2.958890199661255,-10.330286026000977
3,21495808,2.973816156387329,-10.237646102905273
3,22020096,2.9618542194366455,-10.16558837890625
3,22544384,2.980069637298584,-9.962126731872559
3,23068672,2.9680404663085938,-9.8907470703125
3,23592960,2.967755079269409,-9.780078887939453
3,24117248,2.971515655517578,-9.698028564453125
3,24641536,2.9809319972991943,-9.650066375732422
3,25165824,3.006290912628174,-9.43122386932373
3,25690112,3.033317804336548,-9.396061897277832
3,26214400,3.0144691467285156,-9.392728805541992
3,26738688,3.0633046627044678,-9.346898078918457
3,27262976,3.0599138736724854,-9.327390670776367
3,27787264,3.078537940979004,-9.363031387329102
3,28311552,3.114409923553467,-9.389820098876953
3,28835840,3.0731899738311768,-9.219584465026855
3,29360128,3.0905206203460693,-9.109951972961426
3,29884416,3.123457670211792,-9.144451141357422
3,30408704,3.0851492881774902,-9.110337257385254
3,30932992,3.118509292602539,-8.936609268188477
3,31457280,3.1935079097747803,-8.80403995513916
3,31981568,3.1779439449310303,-8.809846878051758
3,32505856,3.2120888233184814,-8.671268463134766
3,33030144,3.2373151779174805,-8.619828224182129
3,33554432,3.231959104537964,-8.549379348754883
3,34078720,3.224154233932495,-8.404790878295898
3,34603008,3.243745803833008,-8.272549629211426
3,35127296,3.3016152381896973,-8.092744827270508
3,35651584,3.310718059539795,-8.042352676391602
3,36175872,3.2985992431640625,-8.11721134185791
3,36700160,3.3085155487060547,-8.059642791748047
3,37224448,3.2983555793762207,-7.96486234664917
3,37748736,3.304172992706299,-7.83534049987793
3,38273024,3.28167986869812,-7.796775817871094
3,38797312,3.2417304515838623,-7.870992183685303
3,39321600,3.283531904220581,-7.695245742797852
3,39845888,3.3330395221710205,-7.565464496612549
3,40370176,3.3451409339904785,-7.508558750152588
3,40894464,3.3747334480285645,-7.400527000427246
3,41418752,3.374234199523926,-7.393725395202637
3,41943040,3.3817222118377686,-7.295732498168945
3,42467328,3.375478506088257,-7.150267601013184
3,42991616,3.337801456451416,-7.205557823181152
3,43515904,3.406670093536377,-7.107707977294922
3,44040192,3.4248387813568115,-7.001874923706055
3,44564480,3.4209866523742676,-6.913623332977295
3,45088768,3.4192795753479004,-6.843100547790527
3,45613056,3.4118943214416504,-6.859663486480713
3,46137344,3.418944835662842,-6.827995777130127
3,46661632,3.457212448120117,-6.70503044128418
3,47185920,3.446842670440674,-6.763604164123535
3,47710208,3.441805601119995,-6.655555725097656
3,48234496,3.4274539947509766,-6.6150898933410645
3,48758784,3.4145123958587646,-6.668010711669922
3,49283072,3.422879219055176,-6.634764671325684
3,49807360,3.396564483642578,-6.545553207397461
3,50331648,3.3809354305267334,-6.609647750854492
3,50855936,3.3753771781921387,-6.500485420227051
3,51380224,3.3318536281585693,-6.6005096435546875
3,51904512,3.353776216506958,-6.469106674194336
3,52428800,3.3537003993988037,-6.500490188598633
3,52953088,3.3282229900360107,-6.565182685852051
3,53477376,3.298460006713867,-6.537626266479492
3,54001664,3.304436683654785,-6.481087684631348
3,54525952,3.324676990509033,-6.477532386779785
3,55050240,3.359592914581299,-6.406698226928711
3,55574528,3.3271565437316895,-6.442117691040039
3,56098816,3.337129592895508,-6.2530999183654785
3,56623104,3.3080568313598633,-6.2925825119018555
3,57147392,3.322072744369507,-6.30340576171875
3,57671680,3.296820878982544,-6.218847274780273
3,58195968,3.2975854873657227,-6.195497512817383
3,58720256,3.2615768909454346,-6.270376682281494
3,59244544,3.233922004699707,-6.253114700317383
3,59768832,3.1915931701660156,-6.39800500869751
3,60293120,3.20540452003479,-6.266571998596191
3,60817408,3.222675085067749,-6.342111587524414
3,61341696,3.191073417663574,-6.242438793182373
3,61865984,3.195167303085327,-6.131217002868652
3,62390272,3.2308285236358643,-6.042943954467773
3,62914560,3.2461369037628174,-5.976215839385986
3,63438848,3.255953788757324,-5.947514057159424
3,63963136,3.235065221786499,-6.021079063415527
3,64487424,3.3017451763153076,-5.850567817687988
3,65011712,3.2511255741119385,-5.77458381652832
3,65536000,3.2778713703155518,-5.821742057800293
3,66060288,3.270644426345825,-5.801644802093506
3,66584576,3.243028402328491,-5.748536109924316
3,67108864,3.226001739501953,-5.726168155670166
4,67633152,3.2389402389526367,-5.638461589813232
4,68157440,3.2028918266296387,-5.676486968994141
4,68681728,3.231227159500122,-5.555402755737305
4,69206016,3.2423341274261475,-5.51636266708374
4,69730304,3.2536098957061768,-5.403482437133789
4,70254592,3.231592893600464,-5.386777877807617
4,70778880,3.233586549758911,-5.27291202545166
4,71303168,3.218757390975952,-5.348018646240234
4,71827456,3.223764419555664,-5.237693786621094
4,72351744,3.2043871879577637,-5.313474655151367
4,72876032,3.2357397079467773,-5.1539201736450195
