collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5226752711459994,-0.05948889055363965,-0.03255176544324456,-0.23060457117389888,-0.050106162999814075,-0.2176909490954131,-1.7331939178402536,-0.04389234125846997,0.7084082667715847,-0.006033957004547119,-0.14248660995508544
262144,1.61033886205405,-0.05959512071534246,-0.16344011353794485,-0.25198534107767045,-0.1548057186882943,-0.2558752913028002,-0.8569446178153157,0.5431193017284386,0.7050897036679089,-0.014810621738433838,1.1006247936747968
393216,1.5993346236646175,-0.059701350877045256,-0.2865570595022291,-0.23687325848732144,-0.16804098233114928,-0.25827210349962115,-0.566792932106182,1.0651843072846532,0.7098684580996633,-0.008776664733886719,1.7889153445139527
524288,1.4685147944837809,-0.05980758103874816,-0.39820345607586205,-0.2183208520291373,-0.16457979625556618,-0.2583073548739776,-0.39667849824763834,1.2676910012960434,0.706613658927381,-0.004057361977174878,1.9425337193533778
655360,1.5703012896701694,-0.05991381120045137,-0.32009046082384884,-0.19585567334434018,-0.13676339255471248,-0.24165199679555371,-0.523410391935613,1.734961393289268,0.6995508088730276,-0.002080766949802637,2.524697408080101
786432,1.6875327862799168,-0.06002004136215428,-0.10831932653672993,-0.24582779640331864,-0.15711301029659808,-0.2873101837467402,-0.5998720317147672,2.2683817986398935,0.7063531302846968,-0.0016456246376037598,3.2020171508193016
917504,1.3810952054336667,-0.060126271523857085,-0.23179116880055517,-0.22038005199283361,-0.2545725767267868,-0.28172790934331715,-0.33471944893244654,2.143490412272513,0.7149892286397517,0.016257129842415452,2.872082183137536
1048576,1.2545866165310144,-0.06023250168555988,-0.2812637761235237,-0.20807883248198777,-0.3511155447922647,-0.2829075399786234,-0.23395542812068015,2.087002072483301,0.71404515998438,0.021255317027680576,2.6587964557111263
1179648,1.2045338032767177,-0.060338731847262794,-0.297239744104445,-0.20600797631777823,-0.38669281103648245,-0.274753620615229,-0.18072892242344096,2.1711574466899037,0.7229540217667818,0.005224985652603209,2.697386858984828
1310720,1.7094967942684889,-0.06044496200896602,-0.1384503107983619,-0.19993154949042946,-0.2670745532377623,-0.28456332127097994,-0.3437630332191475,3.2755242958664894,0.6984163415618241,-0.0024638233007863164,4.38598963432014
1441792,1.445983761921525,-0.060551192170668906,-0.1369897776748985,-0.2220201964955777,-0.37010231940075755,-0.28418913786299527,-0.27027749666012824,2.933156592771411,0.7230919101275504,0.023780453600920737,3.781161069869995
1572864,1.3022066028788686,-0.06065742233237171,-0.14960289967712015,-0.22223180055152625,-0.41342080710455775,-0.2776926471851766,-0.17222949280403554,2.808835059404373,0.7245834772475064,0.02334531128872186,3.562036022543907
