collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5243899477645755,-0.05948889055363965,-0.03158414447518254,-0.22915265621850267,-0.05778104545007068,-0.19325419468805194,-0.9780884210485965,-0.023202957745525055,0.706473836209625,-0.0054838660871610045,0.6526818083948456
262144,1.6315283542498946,-0.05959512071534246,-0.15762248693499714,-0.2512238620547578,-0.16011710360180587,-0.22160917147994041,-0.5003079967573285,0.6727838288061321,0.7105076457373798,-0.011196226623724215,1.6525347214192152
393216,1.5815389715135098,-0.059701350877045256,-0.25883386202622205,-0.2361319730989635,-0.16150168178137392,-0.22281037596985698,-0.340834621922113,1.094027936924249,0.7087163315154612,-0.0038844051596242934,2.1003021774813533
524288,1.459248786792159,-0.05980758103874816,-0.35354894818738103,-0.22613308334257454,-0.17571294703520834,-0.22864864149596542,-0.23926485131960362,1.3720669727772474,0.7122660242021084,-0.004421248726430349,2.255565857514739
655360,1.596815194003284,-0.05991381120045137,-0.29146303824381903,-0.1979169804835692,-0.16388550162082538,-0.21316568192560226,-0.28090842289384454,2.0386138558387756,0.7164043048396707,-0.002747467966401018,3.1413470804691315
786432,1.701009962707758,-0.06002004136215428,-0.08234353241277859,-0.22711254574824125,-0.1869345266604796,-0.260420709149912,-0.3272699393564835,2.653985122218728,0.7347391829825938,0.0050158074154751375,3.950542513281107
917504,1.3354969639331102,-0.060126271523857085,-0.2193330485606566,-0.21384868666063994,-0.34069055831059813,-0.25350346718914807,-0.19246632099384442,2.113149367272854,0.7449918380007148,0.029643390385899693,2.9430229160934687
1048576,1.2052900874987245,-0.06023250168555988,-0.34397915028966963,-0.2140898124780506,-0.4656671159900725,-0.2545468674506992,-0.10850125600700267,2.078767637722194,0.7480054679326713,0.009186422059428878,2.5936704259365797
1179648,1.1961509948596358,-0.060338731847262794,-0.3856547719333321,-0.20817009184975177,-0.4967351225204766,-0.24131031089928,-0.07385648830677383,2.2829483337700367,0.7470161002129316,0.006450023953220807,2.7659144923090935
1310720,1.7434735372662544,-0.06044496200896602,-0.18285289584309794,-0.2087655330542475,-0.3035423355177045,-0.2536706234095618,-0.1870861025818158,3.6743182986974716,0.7258644415996969,0.007369536513579078,4.954349530860782
1441792,1.439421114511788,-0.060551192170668906,-0.15607018599985167,-0.22739322646521032,-0.2725737525615841,-0.24796704575419426,-0.1453532594605349,3.16439919359982,0.7453990452922881,0.039526365566416644,4.278428714722395
1572864,1.3070157384499907,-0.06065742233237171,-0.20761609764304012,-0.23540311271790415,-0.25857532070949674,-0.24785236362367868,-0.09487511485349387,2.908934334293008,0.736678387504071,0.0303976586292265,3.8772507440298796
1703936,1.2738596368581057,-0.060763652494074505,-0.2420345019781962,-0.24671067320741713,-0.23451406904496253,-0.24396173865534365,-0.07383768245927058,3.2097843419760466,0.7305879923515022,0.03958961568423547,4.150647915899754
1835008,1.2478454485535622,-0.06086988265577742,-0.2761012716218829,-0.24585621210280806,-0.21150136447977275,-0.23788122739642859,-0.06269469528342597,3.3088818788528442,0.7377117117866874,0.03471691308368463,4.232326589524746
