collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,800.1872391700745,1000.0,2.344820275902748,787.3208842277527,1000.0,2.319459842517972,793.6528043746948,1000.0,2.1064618676900864,789.4792642593384,1000.0,2.155792474746704
262144,787.6576948165894,1000.0,2.2551335841417313,788.2356033325195,1000.0,2.248114086687565,791.2238292694092,1000.0,2.177601456642151,784.5324702262878,1000.0,2.197840256616473
393216,769.8496150970459,1000.0,2.010288237594068,780.8950614929199,1000.0,2.2331123389303684,786.9960165023804,1000.0,2.3122892156243324,783.3864860534668,1000.0,2.080347342416644
524288,753.9511671066284,1000.0,1.8963932022452354,776.6211128234863,1000.0,2.2387939617037773,784.714503288269,1000.0,2.071876564063132,781.1696801185608,1000.0,2.3340990096330643
655360,745.5876660346985,1000.0,1.965560670942068,770.6032023429871,1000.0,2.119375094771385,783.4522175788879,1000.0,2.108703024685383,778.8543925285339,1000.0,2.4519927501678467
786432,742.4995813369751,1000.0,1.8501468487083912,769.541805267334,1000.0,2.134727582335472,785.7299060821533,1000.0,2.4184089954942465,777.8170299530029,1000.0,1.9068390503525734
917504,741.0048470497131,1000.0,1.4560818178579211,770.4581542015076,1000.0,2.1038164868950844,786.3680262565613,1000.0,2.160515045747161,776.4434471130371,1000.0,1.9794910624623299
1048576,741.4720630645752,1000.0,1.745401095598936,772.0692272186279,1000.0,1.896453620865941,783.6449599266052,1000.0,1.8048583706840873,774.6796088218689,1000.0,1.9668895099312067
1179648,737.7558388710022,1000.0,1.5994749180972576,769.1337666511536,1000.0,2.2386313630267978,784.7224621772766,1000.0,2.1341418996453285,776.6240801811218,1000.0,2.0919959768652916
1310720,755.9840517044067,1000.0,1.6111897230148315,772.2058429718018,1000.0,1.7510266778990626,779.2228403091431,1000.0,2.2148391660302877,775.3301305770874,1000.0,2.0397647731006145
