collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,800.1930828094482,1000.0,2.334401175379753,787.2546067237854,1000.0,2.4056214950978756,793.6717185974121,1000.0,2.0032337084412575,789.4065370559692,1000.0,2.294817417860031
262144,792.0680646896362,1000.0,2.026926603168249,788.7147426605225,1000.0,2.649362189695239,795.8014235496521,1000.0,2.2094319220632315,781.1782379150391,1000.0,2.1656606197357178
393216,783.7266983985901,1000.0,2.027209285646677,780.9745965003967,1000.0,2.129053507000208,789.811954498291,1000.0,2.6693571861833334,782.7133078575134,1000.0,2.3307233937084675
524288,774.3155918121338,1000.0,1.8763154409825802,772.5399551391602,1000.0,1.7046492025256157,785.1900391578674,1000.0,2.3510164618492126,784.4786200523376,1000.0,2.003852643072605
655360,764.1015677452087,1000.0,2.0059996265918016,766.2328953742981,1000.0,2.060170146636665,781.7286667823792,1000.0,2.331095155328512,784.2866549491882,1000.0,2.2831919714808464
786432,751.4492363929749,1000.0,1.6998049803078175,761.6573686599731,1000.0,1.7413974851369858,782.0721092224121,1000.0,2.2675637654028833,783.3862686157227,1000.0,2.429282793775201
917504,744.0199136734009,1000.0,1.8197706043720245,762.7555894851685,1000.0,1.999820264056325,779.364583492279,1000.0,1.7915477082133293,781.931782245636,1000.0,2.3180167246609926
1048576,739.4246702194214,1000.0,1.944992197677493,759.701150894165,1000.0,2.1676201336085796,777.9769058227539,1000.0,2.1827348098158836,778.0109515190125,1000.0,2.1901161894202232
1179648,731.8409957885742,1000.0,1.6748077794909477,762.55122423172,1000.0,2.006773801520467,777.5120449066162,1000.0,1.9172684038057923,780.6249198913574,1000.0,2.374079465866089
1310720,751.9130787849426,1000.0,1.6187872737646103,767.6295762062073,1000.0,2.0874486193060875,777.5908212661743,1000.0,1.9310643887147307,772.4309916496277,1000.0,1.8707421869039536
1441792,775.7410769462585,1000.0,2.3808835074305534,783.1866221427917,1000.0,2.19223515689373,789.2546610832214,1000.0,2.1189452335238457,784.1089305877686,1000.0,2.1582780331373215
1572864,762.4968047142029,1000.0,1.7448532413691282,776.4052972793579,1000.0,2.081467814743519,778.9565467834473,1000.0,2.0750680416822433,777.7509303092957,1000.0,1.9528529904782772
1703936,772.6335501670837,1000.0,2.0016424003988504,784.7025094032288,1000.0,2.1341424267739058,786.7216157913208,1000.0,2.1778954938054085,786.0101795196533,1000.0,2.2980935387313366
1835008,760.7787499427795,1000.0,1.8914409521967173,782.7908415794373,1000.0,2.416596196591854,779.6246342658997,1000.0,2.099182292819023,787.6779308319092,1000.0,2.0167545285075903
1966080,772.0293121337891,1000.0,1.9674528799951077,778.7079510688782,1000.0,2.1523500457406044,776.7926392555237,1000.0,2.32754535228014,788.0584683418274,1000.0,2.282572716474533
2097152,772.9393930435181,1000.0,1.854512520134449,777.6986560821533,1000.0,2.1985839819535613,777.7870674133301,1000.0,2.040533841587603,780.799994468689,1000.0,1.8920802921056747
2228224,772.571282863617,1000.0,2.2535552233457565,772.6600856781006,1000.0,2.7170260436832905,773.7016625404358,1000.0,2.212775830179453,776.1188416481018,1000.0,2.054226802662015
2359296,776.4582824707031,1000.0,1.9994917633011937,778.9860129356384,1000.0,2.059781244955957,774.3013291358948,1000.0,1.8233842179179192,766.8663687705994,1000.0,2.0116584543138742
2490368,779.685688495636,1000.0,2.288548119366169,776.9886631965637,1000.0,2.7096870467066765,774.550971031189,1000.0,1.8164088018238544,762.1773176193237,1000.0,1.8494552373886108
2621440,776.8875064849854,1000.0,2.6228662319481373,780.4338722229004,1000.0,2.209285531193018,772.5170016288757,1000.0,1.963530670851469,761.2325234413147,1000.0,1.6866696262732148
2752512,768.2541031837463,1000.0,1.922830943018198,779.8006420135498,1000.0,2.0851931162178516,770.9859619140625,1000.0,2.1296680765226483,765.9637789726257,1000.0,2.0863918513059616
2883584,775.0100889205933,1000.0,2.2575686275959015,785.0739436149597,1000.0,1.8166647544130683,777.4612307548523,1000.0,2.3030993063002825,762.1015543937683,1000.0,2.010160786099732
3014656,784.7957282066345,1000.0,2.0137976319529116,791.0184578895569,1000.0,2.6139863319694996,772.624960899353,1000.0,2.0820893049240112,762.1433057785034,1000.0,1.8460562005639076
3145728,785.7147817611694,1000.0,2.3532518446445465,787.7367215156555,1000.0,2.47201119735837,765.857180595398,1000.0,1.8461353201419115,746.0355415344238,1000.0,1.7843771297484636
3276800,786.9553375244141,1000.0,2.529056716710329,786.6403460502625,1000.0,2.1858774833381176,765.3768253326416,1000.0,2.0386702232062817,743.6386923789978,1000.0,1.5908704493194818
3407872,794.3617401123047,1000.0,2.4021345488727093,786.6335115432739,1000.0,2.3200268410146236,763.088547706604,1000.0,1.9318492226302624,744.6847901344299,1000.0,1.7348531819880009
3538944,793.6541805267334,1000.0,2.2675918359309435,782.4919519424438,1000.0,1.884239793755114,761.6467022895813,1000.0,1.674677837640047,747.0094022750854,1000.0,1.7902234978973866
3670016,797.3246421813965,1000.0,2.23575010150671,782.9158000946045,1000.0,1.9111874476075172,756.5255360603333,1000.0,1.7961024846881628,743.9532513618469,1000.0,1.696258353535086
3801088,798.0028576850891,1000.0,2.8741483753547072,782.0731062889099,1000.0,2.524720963090658,756.1302890777588,1000.0,1.6655414216220379,742.2970399856567,1000.0,1.8654308542609215
3932160,794.2090330123901,1000.0,1.9635335505008698,779.1508479118347,1000.0,2.040871772915125,758.1108946800232,1000.0,1.9766052309423685,749.5362343788147,1000.0,1.8275277521461248
4063232,791.2246317863464,1000.0,1.8806676231324673,774.5378293991089,1000.0,1.9423227412626147,759.1924028396606,1000.0,2.0014844201505184,757.7178421020508,1000.0,1.8508800910785794
4194304,786.5162944793701,1000.0,2.2482806108891964,769.6820964813232,1000.0,2.0907917115837336,765.3085975646973,1000.0,1.9617750346660614,764.2901496887207,1000.0,1.6400723028928041
4325376,792.265013217926,1000.0,2.117293953895569,777.5574955940247,1000.0,2.1176495966501534,772.3611907958984,1000.0,1.818479347974062,768.6759562492371,1000.0,2.0153054390102625
4456448,790.3085193634033,1000.0,2.114512775093317,775.5276770591736,1000.0,2.06191583070904,772.7448534965515,1000.0,2.2280518263578415,759.9335293769836,1000.0,1.7340681571513414
4587520,789.8021488189697,1000.0,2.299777612090111,774.676794052124,1000.0,2.1338507081381977,772.790210723877,1000.0,2.358102560043335,757.8889851570129,1000.0,1.745432348921895
4718592,789.1628432273865,1000.0,2.4087641183286905,779.1155161857605,1000.0,2.0114858597517014,772.610803604126,1000.0,2.3553590551018715,756.4538888931274,1000.0,1.7281347550451756
4849664,792.1673955917358,1000.0,2.030005916953087,779.8366975784302,1000.0,2.723375841975212,771.0241031646729,1000.0,1.7614365294575691,757.9302821159363,1000.0,1.6750082606449723
4980736,791.4008321762085,1000.0,2.5031085503287613,782.4813466072083,1000.0,2.06599835306406,771.9599857330322,1000.0,1.9421941488981247,762.5056300163269,1000.0,2.0350513933226466
5111808,789.1356921195984,1000.0,2.5277384780347347,781.4603095054626,1000.0,2.529870447702706,765.6100368499756,1000.0,2.2562227370217443,759.2104277610779,1000.0,1.7694918997585773
5242880,789.6891894340515,1000.0,2.2695442736148834,782.3509674072266,1000.0,1.889099471271038,763.4935946464539,1000.0,1.7927795946598053,760.334858417511,1000.0,2.001928069628775
5373952,789.9219269752502,1000.0,2.727958172559738,778.6266832351685,1000.0,1.8477447032928467,762.4014663696289,1000.0,1.8488936945796013,758.6128087043762,1000.0,1.8748288564383984
5505024,778.9925489425659,1000.0,2.145311877131462,780.884765625,1000.0,2.0124700907617807,761.7470865249634,1000.0,2.0491768661886454,762.3501315116882,1000.0,2.2009140234440565
5636096,786.4957733154297,1000.0,2.437477946281433,788.2178611755371,1000.0,2.2985552176833153,760.2614831924438,1000.0,1.9290465358644724,765.1374521255493,1000.0,1.8254918213933706
5767168,787.9165573120117,1000.0,1.972069950774312,783.3814334869385,1000.0,2.0195469856262207,754.0482683181763,1000.0,2.063073575962335,754.2077031135559,1000.0,2.010095328092575
5898240,791.837616443634,1000.0,2.395705558359623,782.0583896636963,1000.0,2.2615307439118624,752.1130838394165,1000.0,1.6998339397832751,760.6107425689697,1000.0,1.7919425559230149
6029312,793.0191402435303,1000.0,2.4217201471328735,782.1731343269348,1000.0,2.201374117285013,751.5907044410706,1000.0,1.9000273142009974,754.4833517074585,1000.0,1.9619856178760529
6160384,794.6188058853149,1000.0,2.533214531838894,782.0036597251892,1000.0,2.4418857442215085,745.9824891090393,1000.0,1.9648726023733616,746.9495692253113,1000.0,1.7881839573383331
6291456,791.1228461265564,1000.0,2.093379680067301,781.1094446182251,1000.0,2.03785078600049,746.5142812728882,1000.0,1.721627164632082,731.9468803405762,1000.0,1.8343007816001773
6422528,793.6571359634399,1000.0,2.0906099304556847,777.6523275375366,1000.0,2.260485105216503,748.998649597168,1000.0,1.739673824980855,722.6184048652649,1000.0,1.4415475949645042
6553600,797.6069536209106,1000.0,2.2585040908306837,782.4691090583801,1000.0,2.039015982300043,746.4818468093872,1000.0,1.6763956248760223,724.5890488624573,1000.0,2.005576018244028
6684672,795.6307978630066,1000.0,2.398560766130686,777.5347962379456,1000.0,2.141843944787979,747.4315285682678,1000.0,2.0786202158778906,731.9776329994202,1000.0,1.5180262252688408
6815744,792.6356902122498,1000.0,2.4069147650152445,785.5774440765381,1000.0,2.037764646112919,760.6930527687073,1000.0,2.0727333584800363,755.1478509902954,1000.0,1.8635979145765305
6946816,790.7199258804321,1000.0,2.139334701001644,791.2663540840149,1000.0,2.351994074881077,759.7206072807312,1000.0,1.7235222347080708,765.8920502662659,1000.0,1.9913296848535538
7077888,788.6726288795471,1000.0,2.333031054586172,788.9921216964722,1000.0,2.7702776193618774,751.6214437484741,1000.0,1.9292744235135615,762.4311394691467,1000.0,1.8847492942586541
7208960,793.7291450500488,1000.0,2.50396965444088,791.3923168182373,1000.0,2.446175880730152,756.1532521247864,1000.0,1.7909931056201458,765.3410019874573,1000.0,2.0062330663204193
7340032,796.2896809577942,1000.0,2.0818700566887856,795.7225122451782,1000.0,2.6351627437397838,763.5464782714844,1000.0,1.9326191842556,767.6076846122742,1000.0,1.9227005913853645
7471104,794.1771998405457,1000.0,2.1931053437292576,790.6972923278809,1000.0,2.29962270706892,767.1321859359741,1000.0,1.913674857467413,759.4289917945862,1000.0,1.8406366687268019
7602176,790.8619990348816,1000.0,2.116486795246601,790.9063420295715,1000.0,2.111599077936262,767.650260925293,1000.0,2.054638382047415,752.4540166854858,1000.0,1.666224431246519
7733248,791.3014578819275,1000.0,2.509492389857769,793.5762524604797,1000.0,2.2281904816627502,769.4380812644958,1000.0,1.901832103729248,755.4430341720581,1000.0,1.6903692949563265
7864320,790.4302620887756,1000.0,2.4208771400153637,787.0704398155212,1000.0,2.176316480152309,768.97185754776,1000.0,2.0789694786071777,756.6795506477356,1000.0,1.9122120598331094
7995392,792.3765649795532,1000.0,2.6872776318341494,782.2731251716614,1000.0,2.05740824714303,761.3034653663635,1000.0,1.678131390362978,761.2056527137756,1000.0,1.8373939748853445
8126464,792.178671836853,1000.0,2.55371306091547,784.4421744346619,1000.0,2.0195977529510856,763.2958598136902,1000.0,2.0969803668558598,772.5973525047302,1000.0,1.9657274819910526
8257536,798.4388589859009,1000.0,2.641362376511097,789.4306077957153,1000.0,2.1635314598679543,774.1572723388672,1000.0,2.100143481977284,781.5581302642822,1000.0,2.1496072113513947
8388608,796.0903735160828,1000.0,2.5212952345609665,785.0011081695557,1000.0,2.05553918518126,770.121889591217,1000.0,1.8502770736813545,777.7129907608032,1000.0,1.8955306336283684
8519680,796.4902257919312,1000.0,2.6087458953261375,786.36083984375,1000.0,1.913062959909439,764.5197901725769,1000.0,2.2437698114663363,779.9173936843872,1000.0,2.2219629362225533
8650752,796.1251525878906,1000.0,2.26878160610795,787.6594624519348,1000.0,1.8944441322237253,766.4009203910828,1000.0,1.854141816496849,782.1629753112793,1000.0,1.8129675667732954
8781824,796.1102266311646,1000.0,2.274444617331028,786.1391372680664,1000.0,2.033379089087248,766.7591667175293,1000.0,2.110034907469526,783.5580630302429,1000.0,2.0303752962499857
8912896,796.9827256202698,1000.0,2.049663782119751,785.4188613891602,1000.0,1.8782988935709,766.250349521637,1000.0,1.9562594247981906,779.2770566940308,1000.0,2.2609217250719666
9043968,799.9219908714294,1000.0,2.8088967613875866,784.2775588035583,1000.0,2.5502793937921524,759.9586501121521,1000.0,1.8086114143952727,777.6632285118103,1000.0,1.818672075867653
9175040,796.6001091003418,1000.0,2.167606770992279,784.1974964141846,1000.0,2.0634172949939966,758.3936581611633,1000.0,2.0230432907119393,778.3248581886292,1000.0,2.2524170093238354
9306112,793.533148765564,1000.0,1.9614278879016638,776.258129119873,1000.0,2.12744502723217,752.743899345398,1000.0,2.0198971815407276,777.1044402122498,1000.0,1.980911884456873
9437184,797.6251454353333,1000.0,2.7826208993792534,782.3641166687012,1000.0,2.22244630753994,764.0474405288696,1000.0,1.9275144152343273,778.9102120399475,1000.0,2.2813869938254356
9568256,802.0363941192627,1000.0,2.353959057945758,792.1306390762329,1000.0,2.469262443948537,770.9331307411194,1000.0,2.031342038884759,784.1521615982056,1000.0,2.0482871616259217
9699328,797.2499284744263,1000.0,2.3090565390884876,785.2222356796265,1000.0,1.9108081050217152,766.8252124786377,1000.0,2.2387072192505,780.1259717941284,1000.0,1.8691573422402143
9830400,797.9204244613647,1000.0,2.461505889892578,782.8254346847534,1000.0,2.4096151059493423,766.9710602760315,1000.0,2.0329528488218784,779.5101375579834,1000.0,2.1153978873044252
9961472,797.1877589225769,1000.0,2.0589321861043572,785.5474300384521,1000.0,2.3844263330101967,767.2803826332092,1000.0,1.9766597505658865,778.129391670227,1000.0,2.430515617132187
10092544,797.0848503112793,1000.0,1.7653332650661469,785.1451516151428,1000.0,2.2341664023697376,766.2389736175537,1000.0,1.8955185189843178,777.8513031005859,1000.0,1.9920730218291283
10223616,792.4574284553528,1000.0,2.0864380025304854,782.8579955101013,1000.0,2.1155751943588257,767.8221278190613,1000.0,2.0887561049312353,776.974817276001,1000.0,2.1743761133402586
10354688,794.7140636444092,1000.0,2.326460871845484,783.5888104438782,1000.0,2.2147028110921383,770.5704054832458,1000.0,2.180460206232965,782.1035089492798,1000.0,2.064191236626357
10485760,792.1308450698853,1000.0,2.1829794384539127,783.4758319854736,1000.0,2.11460542678833,766.8302726745605,1000.0,1.9749220460653305,779.0229053497314,1000.0,2.212437564507127
10616832,789.9494462013245,1000.0,2.5716350004076958,779.7322368621826,1000.0,1.9438880570232868,764.7485013008118,1000.0,2.1665761321783066,776.5247755050659,1000.0,2.006262205541134
10747904,785.6668763160706,1000.0,1.8308152817189693,771.6878271102905,1000.0,1.8200900703668594,759.9812655448914,1000.0,2.404961349442601,782.2396945953369,1000.0,2.2275280952453613
10878976,792.3779983520508,1000.0,2.2895312504842877,779.1117663383484,1000.0,2.4357981756329536,766.7801766395569,1000.0,1.873251150129363,789.068621635437,1000.0,2.2013294473290443
11010048,790.4328141212463,1000.0,1.9239489920437336,776.061990737915,1000.0,2.445278588682413,768.4755620956421,1000.0,2.020480453968048,782.5536136627197,1000.0,2.2219879031181335
11141120,791.8269591331482,1000.0,2.4050800781697035,780.2709956169128,1000.0,2.449875432997942,769.9739336967468,1000.0,2.0125535633414984,786.285409450531,1000.0,2.51645839959383
11272192,789.164210319519,1000.0,2.2721336130052805,779.1789817810059,1000.0,2.325979281682521,763.2891225814819,1000.0,2.0101159811019897,784.1116724014282,1000.0,2.1736753582954407
11403264,791.2425837516785,1000.0,2.143169860355556,779.2146978378296,1000.0,1.7973397076129913,762.7412896156311,1000.0,2.21963535156101,784.3367013931274,1000.0,2.3097988106310368
11534336,794.3490800857544,1000.0,2.4347399435937405,776.282425403595,1000.0,1.8870321363210678,761.6828489303589,1000.0,1.9047899134457111,784.6527009010315,1000.0,2.2999531775712967
