collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
131072,0.0,0.0,0.0
262144,7.62939453125e-06,0.0,0.0
393216,0.0,7.62939453125e-06,0.0
524288,0.0,0.0,0.0
655360,7.62939453125e-06,0.0,0.0
786432,7.62939453125e-06,0.0,0.0
917504,3.0517578125e-05,0.0,0.0
1048576,1.52587890625e-05,0.0,0.0
1179648,2.288818359375e-05,0.0,0.0
1310720,7.62939453125e-06,0.0,0.0
1441792,0.0,0.0,0.0
1572864,9.717039800995024e-07,0.0,0.0
1703936,0.0,0.0,0.0
1835008,7.62939453125e-06,0.0,0.0
1966080,0.0,0.0,0.0
2097152,0.0,0.0,0.0
2228224,0.0,0.0,0.0
2359296,0.0,0.0,0.0
2490368,7.62939453125e-06,0.0,0.0
2621440,5.340576171875e-05,0.0,0.0
2752512,7.62939453125e-06,0.0,0.0
2883584,1.246193445475638e-05,0.0,0.0
3014656,3.814697265625e-05,0.0,0.0
3145728,3.0517578125e-05,0.0,0.0
3276800,1.52587890625e-05,0.0,0.0
3407872,0.0,0.0,0.0
3538944,0.0,0.0,0.0
3670016,0.0,0.0,0.0
3801088,7.62939453125e-06,0.0,0.0
3932160,6.103515625e-05,0.0,0.0
4063232,2.288818359375e-05,0.0,0.0
4194304,2.786559662775616e-05,0.0,0.0
4325376,3.814697265625e-05,7.62939453125e-06,0.0
4456448,1.52587890625e-05,2.288818359375e-05,0.0
4587520,7.62939453125e-06,7.62939453125e-06,0.0
4718592,0.0,0.0,0.0
4849664,0.0,0.0,0.0
4980736,1.52587890625e-05,0.0,0.0
5111808,4.57763671875e-05,0.0,0.0
5242880,7.62939453125e-06,0.0,0.0
5373952,0.0,0.0,0.0
5505024,6.272630667506297e-05,0.0,0.0
5636096,0.0,0.0,0.0
5767168,0.0,0.0,0.0
5898240,0.0,7.62939453125e-06,0.0
6029312,1.52587890625e-05,0.0,0.0
6160384,0.0,0.0,0.0
6291456,1.52587890625e-05,0.0,0.0
6422528,2.288818359375e-05,0.0,0.0
6553600,0.0,0.0,0.0
6684672,7.62939453125e-06,0.0,0.0
6815744,2.4292599502487563e-05,0.0,0.0
6946816,0.0,0.0,0.0
7077888,0.0,0.0,0.0
7208960,0.0,0.0,0.0
7340032,7.62939453125e-06,0.0,0.0
7471104,4.57763671875e-05,0.0,0.0
7602176,0.0,0.0,0.0
7733248,2.288818359375e-05,0.0,0.0
7864320,7.62939453125e-06,0.0,0.0
7995392,0.0,0.0,0.0
8126464,1.3327776054590571e-05,0.0,0.0
8257536,7.62939453125e-06,0.0,0.0
8388608,0.0,0.0,0.0
8519680,0.0,0.0,0.0
8650752,0.0,0.0,0.0
8781824,2.288818359375e-05,0.0,0.0
8912896,0.0,0.0,0.0
