collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
131072,,,,,,,6.243667221069336,0.30242207745750194,6.291587328910827,0.30459736593442144,9.155554957389842,0.42827128491543376
262144,5.515801295638084,23.933597594499588,0.12339073421026114,0.025151952169835567,0.9847878767177463,0.0,,,,,,
262144,,,,,,,5.810265779495239,0.2826071753675614,5.861638069152832,0.2849689231834527,5.947357020378113,0.288901992786448
393216,5.1719692051410675,24.60980060696602,0.11420845553220715,0.02090102483634837,0.9866808415390551,0.0,,,,,,
393216,,,,,,,5.349897146224976,0.2612922597299425,5.389089608192444,0.26311715547133296,5.458909821510315,0.2663634861553048
524288,4.956946134567261,27.87517522275448,0.09751012038032059,0.018594422486785334,0.9924464928917587,0.0,,,,,,
524288,,,,,,,5.092440986633301,0.24925851367777585,5.132160687446595,0.25112018583250983,5.197823448181152,0.254193739687506
655360,4.929530076682568,29.064716190099716,0.10395926045021042,0.018615726054122206,0.9946567974984646,0.0,,,,,,
655360,,,,,,,5.073617219924927,0.24837559432017642,5.111327743530273,0.2501439713089326,5.1601725625991826,0.25243199401666483
786432,4.882044728845358,26.93313591182232,0.09534006151079666,0.018337914822041057,0.988018908072263,0.0,,,,,,
786432,,,,,,,5.007621002197266,0.24527682172210707,5.029810786247253,0.24631927914240648,5.056508846282959,0.24757277641442688
917504,4.76682610809803,26.17330475151539,0.09563402047206182,0.01722517287998926,0.9940866273827851,0.0,,,,,,
917504,,,,,,,4.915851306915283,0.24095955493719634,4.950996661186219,0.24261409075498674,4.98050356388092,0.2440020968896046
1048576,4.530237503349781,25.66119508445263,0.07348305901541607,0.015281186591892038,0.9844999355264008,0.0,,,,,,
1048576,,,,,,,4.706279659271241,0.23106475346170674,4.763860130310058,0.23378824399466502,4.865442953109741,0.2385840388313223
1179648,4.451182663440704,25.295253232121468,0.0702454062848119,0.015701725387771148,0.992129220161587,0.0,,,,,,
1179648,,,,,,,4.586274337768555,0.22537702962818185,4.635638475418091,0.2277185571290623,4.728566880226135,0.23211934576453475
1310720,4.28767928853631,25.38267955183983,0.08704107814992312,0.015239285352436127,0.9680491075851023,0.0,,,,,,
1310720,,,,,,,4.624621629714966,0.22719621371055498,4.980104994773861,0.24398335482402977,8.986158809661879,0.4213299654193541
1441792,4.338327396661043,33.096596375107765,0.07746970374137163,0.018673029444471467,0.9996283696964383,0.0,,,,,,
1441792,,,,,,,4.655332326889038,0.22865197813402705,4.695718216896057,0.23056481464385836,4.744854693412781,0.23288971175428563
1572864,1.9168881234838002,15.490976634903333,0.040335317096436646,0.0024564486529893813,0.34119203457404945,0.0,,,,,,
1572864,,,,,,,4.513175964355469,0.2219049172015719,4.635971450805664,0.22773434250431634,4.794987964630127,0.23525903173994367
1703936,4.540787186473608,23.203856498003006,0.07259818627062486,0.012310361347772414,0.9516831049695611,0.0,,,,,,
1703936,,,,,,,4.656181335449219,0.22869220878982555,4.712085580825805,0.23133953192560153,4.736725940704345,0.23250528196092102
1835008,4.768521532416344,24.060755491256714,0.08777925968752243,0.01648893534729723,0.9579614955000579,0.0,,,,,,
1835008,,,,,,,4.908471393585205,0.24061195282462733,4.979464769363403,0.24395324888137115,8.711553778648389,0.40997210242910964
1966080,5.222251899540424,29.844424337148666,0.11271897132246522,0.025358361774124205,0.9934460204094648,0.0,,,,,,
1966080,,,,,,,5.574075841903687,0.2717049867204975,5.619235944747925,0.2737950119886372,5.6965215158462525,0.2773658141374462
2097152,5.551905050873756,31.871970921754837,0.1726211090135621,0.02391856469330378,0.9985513179562986,0.0,,,,,,
2097152,,,,,,,5.687677812576294,0.27695759703221623,5.732820606231689,0.2790402961644962,5.783110475540161,0.28135737175307973
2228224,5.312421530485153,25.836776196956635,0.1943852223630529,0.018627148907398805,0.9795298092067242,0.0,,,,,,
2228224,,,,,,,5.527519941329956,0.269547677355956,5.550129914283753,0.2705957187409196,5.659200387001038,0.2756424267756712
2359296,4.874440100044012,22.20395813882351,0.2108786666067317,0.011579228037589928,0.885774505790323,0.0,,,,,,
2359296,,,,,,,5.044326400756836,0.24700090246194217,5.125616931915283,0.2508136057793595,5.206428775787353,0.25459616060114043
2490368,4.694999724626541,24.59644591808319,0.19152252741332632,0.0108583763394563,0.9326544906944036,0.0,,,,,,
2490368,,,,,,,4.827608108520508,0.23679917555287422,4.853977060317993,0.2380433035642231,4.899912028312683,0.2402087199055194
2621440,4.417224168777466,23.856932193040848,0.1775734926777659,0.009442980721360072,0.929710746742785,0.0,,,,,,
2621440,,,,,,,4.549908113479614,0.22365037348778216,4.5962233543396,0.22584915956734442,4.636880159378052,0.22777742107267485
2752512,4.238912977278233,21.015694439411163,0.19198998661886435,0.00758699893776793,0.849806244019419,0.0,,,,,,
2752512,,,,,,,4.337537860870361,0.21353936147284558,4.352079939842224,0.21423320231397325,4.399955105781555,0.2165159220132742
2883584,1.9791467672434317,19.225837568119342,0.1065717798710656,0.0032296931716370536,0.5981281564701695,0.0,,,,,,
2883584,,,,,,,4.602009916305542,0.22612371171532764,4.700372576713562,0.23078514948882023,4.842194652557373,0.2374874875745976
3014656,4.524796199053526,22.102787032723427,0.18086197016236838,0.00939232046584948,0.8918369407765567,0.0,,,,,,
3014656,,,,,,,4.6438580513000485,0.22810818782665088,4.703688645362854,0.2309421159267211,4.732442493438721,0.23230267739264865
3145728,4.450057663023472,20.648822836577892,0.1800876101187896,0.008580662804888561,0.8499972256831825,0.0,,,,,,
