collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5484083825722337,-0.05948889055363965,-0.005257754094088796,-0.17536998505238444,-0.013086594833879417,-0.11470123537583277,-0.5081065676640719,0.03722054338140879,0.705984131898731,0.0,1.4156020421651192
262144,1.6145100789144635,-0.05961282574229282,-0.05423580213391688,-0.2213659081608057,-0.08723151250160299,-0.15181364584714174,-0.39164181938394904,0.7954490017145872,0.6955144088715315,-0.001142472101491876,2.1383479181677103
393216,1.5988523801788688,-0.05973676093094649,-0.13135501055512577,-0.2259534114273265,-0.16590701771201566,-0.17254712048452348,-0.3039278789656237,1.4705869778990746,0.6961462539620697,-0.0020564497826853767,2.7039158549159765
524288,1.4869529865682125,-0.05986069611959977,-0.20883946411777288,-0.21431851177476346,-0.24307966732885689,-0.1828080506529659,-0.22991500131320208,1.7769148936495185,0.6949035255238414,-0.0015994609420886263,2.8181968461722136
655360,1.3736397484317422,-0.05998463130825304,-0.25072991172783077,-0.20374172076117247,-0.320497713284567,-0.19207732076756656,-0.16971547924913466,2.0205388655886054,0.6974674733355641,-0.003427416304475628,2.891145622357726
786432,1.2996541941538453,-0.06010856649690672,-0.2563996815588325,-0.19019774347543716,-0.39680277230218053,-0.18955311563331634,-0.13416403642622754,2.138013808056712,0.7010961058549583,-0.006477698509115726,2.9042347222566605
917504,1.2573165828362107,-0.06023250168555988,-0.2490442453417927,-0.18708510615397245,-0.4403825309127569,-0.18960177921690047,-0.1092689210199751,2.342030268162489,0.7043372211046517,-0.008151479298248887,3.05897856131196
1048576,1.2268571685999632,-0.06035643687421358,-0.23774691799189895,-0.18405168096069247,-0.4790885909460485,-0.18979181291069835,-0.09349890938028693,2.465611904859543,0.6994778071530163,-0.00526090657513123,3.1412890069186687
1179648,1.211713271215558,-0.060480372062866834,-0.23268455383367836,-0.17790591402444988,-0.47874514828436077,-0.18258510902523994,-0.07306289253756404,2.7230150420218706,0.696466043125838,-0.00404411465569865,3.4207705352455378
1310720,1.6350766429677606,-0.06060430725152011,-0.09408188154338859,-0.15612433484056965,-0.2569184889434837,-0.17280068359104916,-0.1322500069218222,4.3343334924429655,0.6585878920741379,-0.0009938324219547212,5.7538640927523375
1441792,1.496746027842164,-0.06072824244017378,-0.04673206707229838,-0.21586711483541876,-0.31429643370211124,-0.2133770261425525,-0.12540856574196368,3.992648283019662,0.6985506354831159,-0.001982129950192757,5.209039520472288
1572864,1.5999933006241918,-0.06085217762882694,-0.02941646153340116,-0.19459726568311453,-0.1567363573703915,-0.18766213266644627,-0.14099012210499495,4.45687822625041,0.6890989760868251,0.00919749187596608,5.984788026660681
1703936,1.2823471082374454,-0.060976112817480645,-0.07160258069052361,-0.21970298315864056,-0.18531605671159923,-0.18899762944784015,-0.0993762242142111,3.592591470107436,0.7227340638637543,-0.0008451927715213969,4.7701044380664825
1835008,1.1758790342137218,-0.061100048006133896,-0.07804564730031416,-0.21839461685158312,-0.17872297996655107,-0.1897458746097982,-0.09170545902452432,3.4367655236274004,0.7196187893860042,0.01169986066815909,4.52562153711915
1966080,1.2003645757213235,-0.06122398319478717,-0.0730348578072153,-0.22074045334011316,-0.16911985911428928,-0.18903857877012342,-0.08494675677502528,3.6513481941074133,0.713875939603895,0.019834735212498344,4.786700740456581
2097152,1.2118014162406325,-0.06134791838344085,-0.0650507077225484,-0.2220826504053548,-0.1848820912418887,-0.1930425427854061,-0.08167645224602893,3.88461341150105,0.7203200371004641,0.013447961318888701,5.021374121308327
2228224,1.1741799358278513,-0.06147185357209412,-0.07840943854534999,-0.2175653970334679,-0.18938606046140194,-0.19052886590361595,-0.07265028459369205,3.946918284520507,0.7242473452351987,0.015653050752007402,5.050298631191254
