collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
131072,708.8992671966553,1000.0,1.5587508408352733,698.9355988502502,1000.0,1.4104381799697876,705.1842002868652,1000.0,1.2477856799960136,700.1586360931396,1000.0,1.4962576180696487
262144,703.2242603302002,1000.0,1.506557771936059,699.173011302948,1000.0,1.3461964093148708,703.777530670166,1000.0,1.3805950502865016,696.0347943305969,1000.0,1.3573795836418867
393216,692.598557472229,1000.0,1.4882598966360092,693.2616901397705,1000.0,1.4965613596141338,696.3875598907471,1000.0,1.5875389464199543,693.6119241714478,1000.0,1.4426888898015022
524288,681.1828055381775,1000.0,1.4440938420593739,686.0149602890015,1000.0,1.4168013595044613,698.0732870101929,1000.0,1.3508219048380852,686.939799785614,1000.0,1.4332673605531454
655360,679.3552570343018,1000.0,1.1617937795817852,684.0175375938416,1000.0,1.3382154321298003,695.4381327629089,1000.0,1.650322586297989,685.3137664794922,1000.0,1.57452651578933
786432,695.4901542663574,1000.0,1.4627378582954407,693.9208717346191,1000.0,1.3718477562069893,703.4469685554504,1000.0,1.4952193200588226,695.2186450958252,1000.0,1.4246466532349586
917504,679.0356674194336,1000.0,1.426314176991582,687.1190237998962,1000.0,1.2656569220125675,701.3473687171936,1000.0,1.6171461939811707,691.9058022499084,1000.0,1.1642792746424675
1048576,661.3716678619385,1000.0,1.3570835534483194,681.4326772689819,1000.0,1.2196034779772162,694.9181280136108,1000.0,1.3797114565968513,684.1809191703796,1000.0,1.4374252632260323
1179648,656.6407370567322,1000.0,1.0361529868096113,679.2982892990112,1000.0,1.2943738624453545,693.6075654029846,1000.0,1.638424128293991,682.6319937705994,1000.0,1.3759066238999367
1310720,671.7728209495544,1000.0,1.3829341735690832,688.881453037262,1000.0,1.4838647991418839,689.8668103218079,1000.0,1.1680241264402866,681.6944127082825,1000.0,1.4037810862064362
1441792,671.4781675338745,1000.0,1.324219599366188,698.4920291900635,1000.0,1.6182157543953508,696.9702911376953,1000.0,1.5225612223148346,691.1178331375122,1000.0,1.6044932641088963
1572864,657.9854311943054,1000.0,1.023692224174738,691.1060075759888,1000.0,1.525937182828784,688.3839168548584,1000.0,1.482381822541356,680.3476099967957,1000.0,1.3833525963127613
1703936,648.727044582367,1000.0,1.338768381625414,688.2614574432373,1000.0,1.3615453094244003,682.8824558258057,1000.0,1.340400580316782,663.444730758667,1000.0,1.4837752431631088
1835008,644.011203289032,1000.0,1.0064286515116692,691.1846084594727,1000.0,1.4659599214792252,679.2320289611816,1000.0,1.1365732736885548,662.8127608299255,1000.0,1.241269063204527
1966080,665.2626695632935,1000.0,1.4625088176690042,696.9310145378113,1000.0,1.4813780598342419,687.3908648490906,1000.0,1.527495115995407,675.6139192581177,1000.0,1.209917988628149
2097152,646.3643832206726,1000.0,1.0750171300023794,697.6826992034912,1000.0,1.5193227864801884,690.5528254508972,1000.0,1.2576079536229372,672.8192687034607,1000.0,1.1556045031175017
2228224,642.4478101730347,1000.0,1.0294056423008442,692.8141222000122,1000.0,1.4115832205861807,691.6993322372437,1000.0,1.4726917743682861,668.0632891654968,1000.0,1.3938037566840649
2359296,645.1032829284668,1000.0,1.212526775430888,689.3360276222229,1000.0,1.235993504524231,691.2367601394653,1000.0,1.5610027872025967,667.530695438385,1000.0,1.2686411514878273
2490368,651.8027048110962,1000.0,1.1077226363122463,689.1432385444641,1000.0,1.3362189419567585,690.5012536048889,1000.0,1.450028721243143,671.253812789917,1000.0,1.3963964506983757
2621440,661.7216358184814,1000.0,1.4179046675562859,690.8523025512695,1000.0,1.2269428045256063,689.9703669548035,1000.0,1.4831526689231396,673.653018951416,1000.0,1.2416438609361649
