collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
65536,0.18258755130227655,-0.08000000000000006,-0.060016178186742764,0.0,0.0,0.0,-0.008921340582201509,0.0,0.0,0.0,-0.018795682772179134,0.0,60.0,-15.0,0.0,0.0,0.014854357719741529
131072,0.20172972592990845,-0.08000000000000006,-0.10658914898522198,0.0,-0.00029642032465204693,0.0,-0.03405121370451525,0.0,0.0,0.0,0.12818956155751948,-0.001373291015625,60.0,-15.0,0.0,9.1552734375e-05,0.1075961687893141
196608,0.2158689966890961,-0.08000000000000006,-0.11974623909918591,0.0,-0.0015513906355408835,0.0,-0.059160005126614124,0.0,0.0,0.0,0.2299522791581694,-0.001373291015625,60.0,-15.0,0.0,9.1552734375e-05,0.1839764374308288
262144,0.22007234033662826,-0.08000000000000006,-0.11750215699430555,0.0,-0.0014746931069566926,0.0,-0.07658053137129173,0.0,0.0,0.0,0.35963631875347346,-0.0018310546875,60.0,-15.0,0.0,0.0001220703125,0.30227836658013985
327680,0.20943321916274726,-0.08000000000000006,-0.11173075437545776,0.0,-0.0033030570521077607,0.0,-0.08665171323809773,0.0,0.0,0.0,0.4742416546214372,-0.0020599365234375,60.0,-15.0,0.0,0.0001373291015625,0.3998621244681999
393216,0.2018892727792263,-0.08000000000000006,-0.10036846966249868,0.0,-0.0030430878923652926,0.0,-0.08817304950207472,0.0,0.0,0.0,0.5895966340322047,-0.00274658203125,60.0,-15.0,0.0,0.00018310546875,0.517061909660697
458752,0.2623743766453117,-0.08000000000000006,-0.05408511334826471,0.0,-0.0006497752754057728,0.0,-0.04683816237957217,0.0,0.0,0.0,0.5428219712339342,-0.000457763671875,60.0,-15.0,0.0,3.0517578125e-05,0.6231460075359792
524288,0.24567228078376502,-0.08000000000000006,-0.07432117400458083,0.0,-0.0007546819149411021,0.0,-0.08563543582567945,0.0,0.0,0.0,0.7370713627897203,-0.000457763671875,60.0,-15.0,0.0,3.0517578125e-05,0.7415522430092096
589824,0.2102751114871353,-0.08000000000000006,-0.0696625221753493,0.0,-0.003278109137681895,0.0,-0.08900890150107443,0.0,0.0,0.0,0.8296936079859734,-0.0016021728515625,60.0,-15.0,0.0,0.0001068115234375,0.796333366073668
655360,0.19336831872351468,-0.08000000000000006,-0.06356621001032181,0.0,-0.004304651522033964,0.0,-0.09156148304464296,0.0,0.0,0.0,0.8957502958364785,-0.0016021728515625,60.0,-15.0,0.0,0.0001068115234375,0.8479904411360621
