collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min,torque/flipper_contact_FL,torque/flipper_contact_FL_max,torque/flipper_contact_FR,torque/flipper_contact_FR_max,torque/flipper_contact_RL,torque/flipper_contact_RL_max,torque/flipper_contact_RR,torque/flipper_contact_RR_max
65536,794.46715259552,1000.0,4.906776204705238,793.338077545166,1000.0,5.304154753684998,785.3125185966492,1000.0,4.917841134592891,794.7924852371216,1000.0,4.824455203488469,0.7944671660661697,1.0,0.7933380911126733,1.0,0.7853125277906656,1.0,0.7947924882173538,1.0
131072,787.7911467552185,1000.0,4.119436975568533,789.1286134719849,1000.0,4.455216556787491,778.0857558250427,1000.0,4.544454233720899,786.87886095047,1000.0,4.270717067644,0.7877911566756666,1.0,0.7891286173835397,1.0,0.778085766825825,1.0,0.7868788721971214,1.0
196608,784.6598000526428,1000.0,4.521087173372507,784.7259020805359,1000.0,4.390964392572641,772.9069838523865,1000.0,4.2408927492797375,786.3421864509583,1000.0,4.238283105194569,0.7846598094329238,1.0,0.7847259077243507,1.0,0.7729069888591766,1.0,0.7863421919755638,1.0
262144,784.2569408416748,1000.0,4.5042607225477695,780.810329914093,1000.0,4.579825434833765,773.4124445915222,1000.0,4.458471152931452,779.2115807533264,1000.0,3.7971217557787895,0.7842569509521127,1.0,0.7808103407733142,1.0,0.7734124585986137,1.0,0.779211588203907,1.0
327680,783.2531685829163,1000.0,3.9635109305381775,779.6983861923218,1000.0,5.336560428142548,773.8724002838135,1000.0,4.760741176083684,779.4610919952393,1000.0,3.841974699869752,0.7832531817257404,1.0,0.7796983979642391,1.0,0.7738724178634584,1.0,0.77946110162884,1.0
393216,786.0442461967468,1000.0,4.592577574774623,780.6159901618958,1000.0,4.912838036194444,775.8037571907043,1000.0,3.505014458671212,779.0778732299805,1000.0,4.94126496091485,0.7860442600212991,1.0,0.7806159984320402,1.0,0.7758037657476962,1.0,0.7790778847411275,1.0
458752,787.1370038986206,1000.0,4.194073673337698,783.0380177497864,1000.0,4.177260182797909,778.3270177841187,1000.0,3.992438517510891,791.1306004524231,1000.0,5.32687565498054,0.7871370147913694,1.0,0.7830380275845528,1.0,0.7783270264044404,1.0,0.7911306116729975,1.0
524288,781.1273427009583,1000.0,4.524929066188633,783.9018659591675,1000.0,4.72755323164165,780.6473116874695,1000.0,4.079315051436424,786.7079787254333,1000.0,3.741467942483723,0.7811273564584553,1.0,0.7839018744416535,1.0,0.7806473206728697,1.0,0.7867079889401793,1.0
589824,776.4048471450806,1000.0,4.574697524309158,782.4656987190247,1000.0,4.244035337120295,781.5544013977051,1000.0,5.022780973464251,780.2755961418152,1000.0,4.529967021197081,0.776404857635498,1.0,0.7824657075107098,1.0,0.7815544158220291,1.0,0.7802756088785827,1.0
655360,772.4654550552368,1000.0,4.7600180534645915,779.7822914123535,1000.0,4.3356190994381905,780.825722694397,1000.0,4.4561056308448315,778.197404384613,1000.0,3.9581068344414234,0.7724654665216804,1.0,0.7797823017463088,1.0,0.780825731344521,1.0,0.7781974119134247,1.0
720896,771.0814909934998,1000.0,3.2732142731547356,780.1549768447876,1000.0,4.794046748429537,778.7245464324951,1000.0,3.8050339221954346,777.6252493858337,1000.0,4.509107798337936,0.7710814997553825,1.0,0.780154986307025,1.0,0.7787245558574796,1.0,0.7776252594776452,1.0
786432,771.9485259056091,1000.0,4.063001463189721,781.2831439971924,1000.0,3.999836079776287,778.7365055084229,1000.0,4.901299837976694,773.5261888504028,1000.0,4.070333757437766,0.7719485345296562,1.0,0.7812831564806402,1.0,0.7787365117110312,1.0,0.7735261972993612,1.0
851968,773.158697605133,1000.0,4.749504424631596,778.8200087547302,1000.0,4.521138606593013,775.528254032135,1000.0,4.538172088563442,770.4713263511658,1000.0,4.076444290578365,0.7731587085872889,1.0,0.7788200252689421,1.0,0.775528266094625,1.0,0.7704713335260749,1.0
917504,766.0770406723022,1000.0,4.387946743518114,777.2275981903076,1000.0,4.222211666405201,769.1330881118774,1000.0,3.9156868681311607,769.3067216873169,1000.0,4.353246256709099,0.7660770509392023,1.0,0.7772276080213487,1.0,0.7691330956295133,1.0,0.7693067300133407,1.0
983040,768.6729912757874,1000.0,3.948576118797064,774.9737749099731,1000.0,3.832092359662056,769.8754076957703,1000.0,4.377873782068491,770.8598203659058,1000.0,4.244899291545153,0.7686729989945889,1.0,0.774973782710731,1.0,0.7698754211887717,1.0,0.7708598310127854,1.0
1048576,764.5534386634827,1000.0,3.431896097958088,775.0072674751282,1000.0,4.71686683036387,769.5078792572021,1000.0,3.917920522391796,767.535626411438,1000.0,4.462269186973572,0.7645534491166472,1.0,0.7750072767958045,1.0,0.7695078896358609,1.0,0.7675356371328235,1.0
1114112,755.5287294387817,1000.0,3.448071401566267,770.4326825141907,1000.0,3.637682246044278,768.9563636779785,1000.0,4.041652034968138,771.2168889045715,1000.0,4.192729443311691,0.7555287424474955,1.0,0.7704326948150992,1.0,0.7689563678577542,1.0,0.7712168982252479,1.0
