collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
16384,-0.27158719301223755,-0.1636817455291748,0.10790544748306274,-2.7617545127868652,-2.6754937171936035,3.8141305446624756,-0.0026818192563951015,-0.09365716576576233,2.6729788780212402,7.621478289365768e-05,0.0,-2.7617545127868652,7.18817138671875,3.1176109313964844,9.679593874490752e-05,0.0005780261315226248
32768,-0.07892362773418427,-1.4740583896636963,-1.395134761929512,-0.8768059611320496,-2.6714835166931152,3.310638189315796,-0.0014725485816597939,-0.09332332760095596,2.6634509563446045,-0.00017987116007134318,0.0,-0.8768059611320496,5.868584632873535,3.5073444843292236,9.656648064396485e-05,0.0005766559007034997
49152,-0.036088913679122925,-2.8621435165405273,-2.8260546028614044,-0.487928181886673,-2.6773781776428223,2.9610695838928223,-0.0010331994853913784,-0.09325502812862396,2.661501407623291,0.00010652007767930627,0.0,-0.487928181886673,5.303517818450928,3.3247857093811035,9.633702254302219e-05,0.0005752856698843746
65536,-0.02433263137936592,-3.6660983562469482,-3.6417657248675823,-0.3240549564361572,-2.675445795059204,2.7517282962799072,-0.001330177765339613,-0.09400029480457306,2.6827714443206787,0.00010002899216488004,0.0,-0.3240549564361572,4.688562870025635,2.1502997875213623,9.610756444207951e-05,0.0005739154390652495
81920,0.05880524218082428,-3.4664485454559326,-3.525253787636757,0.170987069606781,-2.6772923469543457,3.079191207885742,-0.0007201121188700199,-0.09395323693752289,2.6814284324645996,-0.0001544005936011672,0.0,0.170987069606781,5.539628982543945,2.8807053565979004,9.587810634113683e-05,0.0005725452082461243
98304,-0.020800163969397545,-2.962585926055908,-2.9417857620865107,-0.42331114411354065,-2.6764440536499023,3.596208095550537,-0.0006820326671004295,-0.09343971312046051,2.6667723655700684,0.0001689687487669289,0.0,-0.42331114411354065,6.185729503631592,2.8593790531158447,9.564864824019417e-05,0.0005711749774269992
114688,-0.3086511492729187,-2.405207633972168,-2.0965564846992493,-3.4084761142730713,-2.676194667816162,4.2498579025268555,-0.0006496268324553967,-0.09329837560653687,2.6627390384674072,0.00014567800099030137,0.0,-3.4084761142730713,6.501871109008789,4.39563512802124,9.54191901392515e-05,0.0005698047466078741
131072,-0.11994623392820358,-5.505488395690918,-5.385542161762714,-1.215235710144043,-2.6698179244995117,3.7444100379943848,-0.0008034599013626575,-0.09367559850215912,2.6735048294067383,0.000185205542948097,0.0,-1.215235710144043,5.800528049468994,5.223339557647705,9.518973203830882e-05,0.000568434515788749
147456,-0.052492447197437286,-6.525300979614258,-6.4728085324168205,-0.7415846586227417,-2.673158884048462,3.6171929836273193,-0.0009843471925705671,-0.09385265409946442,2.678557872772217,-0.0001973261241801083,0.0,-0.7415846586227417,6.08769416809082,2.089045286178589,9.496027393736614e-05,0.0005670642849696238
163840,-0.024214651435613632,-8.75113582611084,-8.726921174675226,-0.40194714069366455,-2.6808223724365234,3.1809043884277344,-0.0009525225032120943,-0.09377345442771912,2.676297664642334,0.00019630597671493888,0.0,-0.40194714069366455,5.356967449188232,2.7591679096221924,9.473081583642348e-05,0.0005656940541504987
