collected_frames,rew/potential_shaping,rew/step_penalty,rew/joint_vel_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
16384,0.4440436305012554,-0.20136560257768443,-0.2491562613286078,-0.008215309034071083,-0.1424458279798273,-0.014335469896195718,-0.11044135558768176,-0.008265531359938905,-0.2901817227830179
32768,0.3064013321418315,-0.20136560257768443,-0.2497665573609993,-0.01312935494206613,-0.14349282626062632,-0.01645049283251865,-0.1046306491480209,-0.005735576705774292,-0.42816972685977817
49152,0.2645642893621698,-0.20136560257768443,-0.24930258328095078,-0.012882444440037943,-0.13072247634408996,-0.0152067853268818,-0.09549637121381238,-0.006875649967696518,-0.4472876254003495
65536,0.23322018317412585,-0.20136560257768443,-0.24785783560946584,-0.0132096885718056,-0.11702135036466643,-0.016625641110294964,-0.09124070662073791,-0.0027643440989777446,-0.45686498773284256
81920,0.2553715049289167,-0.20136560257768443,-0.2458985261619091,-0.011385848443751456,-0.11252152465749532,-0.015025975219032262,-0.09066055360017344,-0.007246507448144257,-0.42873303394299
98304,0.28935578744858503,-0.20136560257768443,-0.24763239407911897,-0.012188121901999693,-0.13672619994031265,-0.015143033946515061,-0.10521407669875771,-0.006875649996800348,-0.4357892903499305
114688,0.3429175082128495,-0.20136560257768443,-0.24713261029683053,-0.00795811161333404,-0.12616436911048368,-0.014254574336519,-0.09784893551841378,-0.002030338509939611,-0.3538370354217477
131072,0.2886438026325777,-0.20136560257768443,-0.24688385764602572,-0.01071415394108044,-0.12433881784090772,-0.01730649478122359,-0.09962046483997256,-0.006633551238337532,-0.4182191384024918
147456,0.2883058125153184,-0.20136560257768443,-0.24666702339891344,-0.012624304617929738,-0.13346975157037377,-0.01606030439870665,-0.10353153687901795,-0.0021084683248773217,-0.42752117686904967
163840,0.2561692497693002,-0.20136560257768443,-0.24535550957079977,-0.013385571306571364,-0.12412566965213045,-0.014989401250204537,-0.0941295251250267,-0.00488052170840092,-0.4420625474303961
180224,0.2740576115902513,-0.20136560257768443,-0.24558650702238083,-0.012522120028734207,-0.12436989421257749,-0.016168471891433,-0.09781562798889354,-0.006918569561094046,-0.4306891809683293
196608,0.3104863245971501,-0.20136560257768443,-0.24509924021549523,-0.007091527797456365,-0.11377067430294119,-0.013858964761311654,-0.09063850872917101,-0.0027643440989777446,-0.36410253576468676
212992,0.2961867759004235,-0.20136560257768443,-0.24855892732739449,-0.010087266979098786,-0.12719178281258792,-0.015041051090520341,-0.09904875879874453,-0.0022724372684024274,-0.40737905190326273
229376,0.2769639656180516,-0.20136560257768443,-0.248241878580302,-0.011101735166448634,-0.12115006637759507,-0.01601389369898243,-0.09694517473690212,-0.004267565527698025,-0.4221219525206834
245760,0.2782754322979599,-0.20136560257768443,-0.24563644523732364,-0.009081562377105001,-0.1158241064986214,-0.014306106568255927,-0.09424547821981832,-0.005450558353913948,-0.40763442823663354
262144,0.27020582160912454,-0.20136560257768443,-0.24588835996109992,-0.009157530046650209,-0.1120434210752137,-0.014140694293018896,-0.08979727677069604,-0.0046384229499381036,-0.40682548517361283
278528,0.336179718375206,-0.20136560257768443,-0.24784618325065821,-0.005995459761834354,-0.11014730189344846,-0.011800348082033452,-0.08822162548312917,-0.003947336954297498,-0.3331441404297948
294912,0.25936733291018754,-0.20136560257768443,-0.2470248598838225,-0.009825152686971705,-0.11605487496126443,-0.015981340424332302,-0.09048669267212972,-0.005536397511605173,-0.42690758663229644
311296,0.3043819931335747,-0.20136560257768443,-0.2459725831868127,-0.009671022860857192,-0.12194580479990691,-0.01420824094384443,-0.09568893734831363,-0.005899545649299398,-0.39036974124610424
327680,0.288338863174431,-0.20136560257768443,-0.24833125621080399,-0.011662585515296087,-0.1345901552704163,-0.014592879117117263,-0.10144951625261456,-0.006063514592824504,-0.42971664480865
344064,0.28392057807650417,-0.20136560257768443,-0.2481890490744263,-0.01003382616181625,-0.12119584385072812,-0.01469226158951642,-0.09541315288515761,-0.004388614877825603,-0.41135777556337416
360448,0.3358948470558971,-0.20136560257768443,-0.24527366377878934,-0.007308644821023336,-0.11497892500483431,-0.013485161020071246,-0.09572816867148504,-0.008265531359938905,-0.35051084199221805
376832,0.3028431332204491,-0.20136560257768443,-0.2447388869477436,-0.009712994491565041,-0.12432066386099905,-0.013968987761472818,-0.0977026306791231,-0.005208459624554962,-0.3941750922240317
393216,0.29260403907392174,-0.20136560257768443,-0.2453712773276493,-0.00901552975847153,-0.11997554852860048,-0.01571361102105584,-0.09798517229501158,-0.0061416444077622145,-0.4029643426183611
409600,0.28886473120655864,-0.20136560257768443,-0.2464667314197868,-0.008098938094917685,-0.11272082239156589,-0.014347391297633294,-0.09299307159380987,-0.005899545620195568,-0.39302737126126885
425984,0.2844472958240658,-0.20136560257768443,-0.24645917222369462,-0.008390275572310202,-0.117477300693281,-0.01420557787787402,-0.0952624425990507,-0.009647703409427777,-0.4083607766078785
442368,0.33685435145162046,-0.20136560257768443,-0.2449752186657861,-0.006280424629949266,-0.1094357684487477,-0.01565419783582911,-0.0959021050366573,-0.0037404484173748642,-0.3404994128504768
458752,0.3005209071561694,-0.20136560257768443,-0.24556439591106027,-0.007714157552982215,-0.1087343815015629,-0.01302361635316629,-0.08679399208631366,-0.003861497825710103,-0.36653673578985035
475136,0.3000596109777689,-0.20136560257768443,-0.24669714632909745,-0.008252510364400223,-0.115319429023657,-0.014786052459385246,-0.09311885508941486,-0.007246507419040427,-0.3867264923173934
491520,0.16949216311331838,-0.20136560257768443,-0.24686966824810952,-0.008113551091810223,-0.11888164369156584,-0.015816084734979086,-0.09735076659126207,-0.003697528882184997,-0.5226027106400579
507904,0.2785892247920856,-0.20136560257768443,-0.24487980466801673,-0.007864563285693293,-0.111985809286125,-0.014901685732183978,-0.09097706183092669,-0.004431534471223131,-0.39781683543697
524288,0.3074555320199579,-0.20136560257768443,-0.2448661420494318,-0.005168975160813716,-0.09213648131117225,-0.013268790706206346,-0.08550275792367756,-0.00435340465628542,-0.3392066200613044
540672,0.2762742774793878,-0.20136560257768443,-0.24613683356437832,-0.006400999307516031,-0.10441576869925484,-0.01592478237580508,-0.09068281308282167,-0.004638422979041934,-0.39329094253480434
